Day,Date,State,Fips,Cases,Deaths,New Cases,Gamma,S/N,InfectedPop,dI/dt,EncounterRateEstimate,
1,2/28/2020,Oregon,41,1,0,1,0.071428571,0.999999763,,,,
2,2/29/2020,Oregon,41,1,0,0,0.071428571,0.999999763,,,,
3,3/1/2020,Oregon,41,2,0,1,0.071428571,0.999999526,,,,
4,3/2/2020,Oregon,41,2,0,0,0.071428571,0.999999526,,,,
5,3/3/2020,Oregon,41,2,0,0,0.071428571,0.999999526,,,,
6,3/4/2020,Oregon,41,2,0,0,0.071428571,0.999999526,,,,
7,3/5/2020,Oregon,41,2,0,0,0.071428571,0.999999526,,,,
8,3/6/2020,Oregon,41,2,0,0,0.071428571,0.999999526,,,,
9,3/7/2020,Oregon,41,6,0,4,0.071428571,0.999998577,,,,
10,3/8/2020,Oregon,41,13,0,7,0.071428571,0.999996918,,,,
11,3/9/2020,Oregon,41,13,0,0,0.071428571,0.999996918,,,,
12,3/10/2020,Oregon,41,14,0,1,0.071428571,0.999996681,,,,
13,3/11/2020,Oregon,41,20,0,6,0.071428571,0.999995258,,,,
14,3/12/2020,Oregon,41,30,0,10,0.071428571,0.999992887,29,,,
15,3/13/2020,Oregon,41,30,0,0,0.071428571,0.999992887,29,0,0.071429079,
16,3/14/2020,Oregon,41,36,1,6,0.071428571,0.999991465,34,5,0.21848926,
17,3/15/2020,Oregon,41,39,1,3,0.071428571,0.999990753,37,3,0.152511063,
18,3/16/2020,Oregon,41,46,1,7,0.071428571,0.999989094,44,7,0.230521995,
19,3/17/2020,Oregon,41,66,2,20,0.071428571,0.999984352,64,20,0.383934579,
20,3/18/2020,Oregon,41,74,3,8,0.071428571,0.999982455,72,8,0.182542885,
21,3/19/2020,Oregon,41,87,3,13,0.071428571,0.999979373,85,13,0.224374376,0.209114748
22,3/20/2020,Oregon,41,114,3,27,0.071428571,0.999972971,108,23,0.284399221,0.239539054
23,3/21/2020,Oregon,41,137,4,23,0.071428571,0.999967518,124,16,0.200467341,0.236964494
24,3/22/2020,Oregon,41,161,5,24,0.071428571,0.999961828,148,24,0.233599651,0.248548578
25,3/23/2020,Oregon,41,191,5,30,0.071428571,0.999954715,177,29,0.235281034,0.249228441
26,3/24/2020,Oregon,41,209,8,18,0.071428571,0.999950447,189,12,0.134927321,0.213655976
27,3/25/2020,Oregon,41,266,10,57,0.071428571,0.999936933,236,47,0.27059818,0.226235303
28,3/26/2020,Oregon,41,316,11,50,0.071428571,0.999925078,286,50,0.246272197,0.229363564
29,3/27/2020,Oregon,41,414,12,98,0.071428571,0.999901843,378,92,0.314845719,0.233713063
30,3/28/2020,Oregon,41,479,13,65,0.071428571,0.999886432,440,62,0.21236178,0.235412269
31,3/29/2020,Oregon,41,548,13,69,0.071428571,0.999870073,502,62,0.194959878,0.229892301
32,3/30/2020,Oregon,41,606,16,58,0.071428571,0.999856321,540,38,0.141819318,0.216540628
33,3/31/2020,Oregon,41,690,18,84,0.071428571,0.999836405,616,76,0.194837069,0.225099163
34,4/1/2020,Oregon,41,736,19,46,0.071428571,0.999825499,649,33,0.12229737,0.203913333
35,4/2/2020,Oregon,41,826,21,90,0.071428571,0.99980416,712,63,0.159943041,0.191580596
36,4/3/2020,Oregon,41,899,22,73,0.071428571,0.999786853,762,50,0.137074586,0.16618472
37,4/4/2020,Oregon,41,999,26,100,0.071428571,0.999763143,838,76,0.162159104,0.15901291
38,4/5/2020,Oregon,41,1068,27,69,0.071428571,0.999746784,877,39,0.11592771,0.1477226
39,4/6/2020,Oregon,41,1132,29,64,0.071428571,0.99973161,923,46,0.121298613,0.14479107
40,4/7/2020,Oregon,41,1181,33,49,0.071428571,0.999719992,915,-8,0.062702959,0.125914769
41,4/8/2020,Oregon,41,1239,38,58,0.071428571,0.999706241,923,8,0.080119496,0.119889359
42,4/9/2020,Oregon,41,1321,44,82,0.071428571,0.999686799,907,-16,0.05380485,0.10472676
43,4/10/2020,Oregon,41,1371,48,50,0.071428571,0.999674944,892,-15,0.054630186,0.092948988
44,4/11/2020,Oregon,41,1447,51,76,0.071428571,0.999656925,899,7,0.079242187,0.081103714
45,4/12/2020,Oregon,41,1527,52,80,0.071428571,0.999637958,921,22,0.095350172,0.078164066
46,4/13/2020,Oregon,41,1584,53,57,0.071428571,0.999624443,894,-27,0.041242718,0.06672751
47,4/14/2020,Oregon,41,1633,55,49,0.071428571,0.999612826,897,3,0.074802014,0.068455946
48,4/15/2020,Oregon,41,1663,58,30,0.071428571,0.999605713,837,-60,-0.000256117,0.056973716
49,4/16/2020,Oregon,41,1736,64,73,0.071428571,0.999588405,837,0,0.071457983,0.059495592
50,4/17/2020,Oregon,41,1785,70,49,0.071428571,0.999576787,786,-51,0.006545846,0.0526264
51,4/18/2020,Oregon,41,1844,72,59,0.071428571,0.999562799,776,-10,0.058567579,0.049672885
52,4/19/2020,Oregon,41,1910,74,66,0.071428571,0.999547151,778,2,0.074032791,0.046627545
53,4/20/2020,Oregon,41,1956,75,46,0.071428571,0.999536244,775,-3,0.067588948,0.050391292
