Day,date,cases,deaths,Gamma,S/N,InfectedPop,dI/dt,EncounterRateEstimate,
1,1/21/2020,1,0,0.071428571,0.999999997,,,,
2,1/22/2020,1,0,0.071428571,0.999999997,,,,
3,1/23/2020,1,0,0.071428571,0.999999997,,,,
4,1/24/2020,2,0,0.071428571,0.999999994,,,,
5,1/25/2020,3,0,0.071428571,0.999999991,,,,
6,1/26/2020,5,0,0.071428571,0.999999985,,,,
7,1/27/2020,5,0,0.071428571,0.999999985,,,,
8,1/28/2020,5,0,0.071428571,0.999999985,,,,
9,1/29/2020,5,0,0.071428571,0.999999985,,,,
10,1/30/2020,6,0,0.071428571,0.999999981,,,,
11,1/31/2020,7,0,0.071428571,0.999999978,,,,
12,2/1/2020,8,0,0.071428571,0.999999975,,,,
13,2/2/2020,11,0,0.071428571,0.999999966,,,,
14,2/3/2020,11,0,0.071428571,0.999999966,10,,,
15,2/4/2020,11,0,0.071428571,0.999999966,10,0,0.071428573,
16,2/5/2020,12,0,0.071428571,0.999999963,11,1,0.162337668,
17,2/6/2020,12,0,0.071428571,0.999999963,10,-1,-0.02857143,
18,2/7/2020,12,0,0.071428571,0.999999963,9,-1,-0.039682542,
19,2/8/2020,12,0,0.071428571,0.999999963,7,-2,-0.214285723,
20,2/9/2020,12,0,0.071428571,0.999999963,7,0,0.071428574,
21,2/10/2020,13,0,0.071428571,0.99999996,8,1,0.196428579,0.031297671
22,2/11/2020,13,0,0.071428571,0.99999996,8,0,0.071428574,0.031297671
23,2/12/2020,14,0,0.071428571,0.999999957,8,0,0.071428574,0.018310658
24,2/13/2020,15,0,0.071428571,0.999999954,8,0,0.071428574,0.032596373
25,2/14/2020,15,0,0.071428571,0.999999954,7,-1,-0.071428575,0.028061225
26,2/15/2020,15,0,0.071428571,0.999999954,4,-3,-0.678571461,-0.038265309
27,2/16/2020,15,0,0.071428571,0.999999954,4,0,0.071428574,-0.038265309
28,2/17/2020,25,0,0.071428571,0.999999923,14,10,0.785714346,0.045918372
29,2/18/2020,25,0,0.071428571,0.999999923,13,-1,-0.005494506,0.034929361
30,2/19/2020,25,0,0.071428571,0.999999923,13,0,0.071428577,0.034929361
31,2/20/2020,27,0,0.071428571,0.999999916,15,2,0.204761921,0.053976982
32,2/21/2020,30,0,0.071428571,0.999999907,18,3,0.23809526,0.098194673
33,2/22/2020,30,0,0.071428571,0.999999907,18,0,0.071428578,0.205337536
34,2/23/2020,30,0,0.071428571,0.999999907,17,-1,0.012605043,0.196934174
35,2/24/2020,43,0,0.071428571,0.999999867,30,13,0.504761972,0.15679812
36,2/25/2020,45,0,0.071428571,0.999999861,31,1,0.10368665,0.172395429
37,2/26/2020,60,0,0.071428571,0.999999814,45,14,0.382539753,0.216839882
38,2/27/2020,60,0,0.071428571,0.999999814,45,0,0.071428584,0.197792263
39,2/28/2020,65,0,0.071428571,0.999999799,50,5,0.171428605,0.188268455
40,2/29/2020,70,1,0.071428571,0.999999783,55,5,0.162337697,0.201255472
41,3/1/2020,88,3,0.071428571,0.999999728,63,8,0.198412752,0.227799431
42,3/2/2020,104,6,0.071428571,0.999999678,79,16,0.273960305,0.194827764
43,3/3/2020,125,10,0.071428571,0.999999613,100,21,0.28142868,0.220219482
44,3/4/2020,161,12,0.071428571,0.999999502,134,34,0.325160076,0.212022386
45,3/5/2020,228,12,0.071428571,0.999999294,198,64,0.394661173,0.25819847
46,3/6/2020,311,15,0.071428571,0.999999037,281,83,0.36680259,0.286109039
47,3/7/2020,428,19,0.071428571,0.999998675,398,117,0.365398904,0.315117783
48,3/8/2020,547,22,0.071428571,0.999998307,504,106,0.281746508,0.327022605
49,3/9/2020,748,26,0.071428571,0.999997684,703,199,0.354501938,0.338528553
50,3/10/2020,1018,31,0.071428571,0.999996848,958,255,0.337609176,0.346554338
51,3/11/2020,1263,37,0.071428571,0.99999609,1203,245,0.27508717,0.339401066
52,3/12/2020,1668,43,0.071428571,0.999994836,1603,400,0.320962356,0.328872663
53,3/13/2020,2224,50,0.071428571,0.999993115,2154,551,0.327233981,0.323220005
54,3/14/2020,2898,60,0.071428571,0.999991028,2810,656,0.304883264,0.314574913
55,3/15/2020,3600,68,0.071428571,0.999988854,3496,686,0.26765581,0.312561956
56,3/16/2020,4507,91,0.071428571,0.999986046,4382,886,0.273623169,0.301007847
57,3/17/2020,5905,116,0.071428571,0.999981718,5744,1362,0.308551203,0.296856708
58,3/18/2020,8345,157,0.071428571,0.999974164,8117,2373,0.36378736,0.309528163
59,3/19/2020,12384,203,0.071428571,0.999961659,12073,3956,0.399117194,0.32069314
60,3/20/2020,17990,264,0.071428571,0.999944303,17562,5489,0.383999782,0.32880254
61,3/21/2020,24511,343,0.071428571,0.999924115,23964,6402,0.338604992,0.33361993
62,3/22/2020,33043,435,0.071428571,0.9998977,32295,8331,0.329427901,0.342444515
63,3/23/2020,43477,546,0.071428571,0.999865396,42459,10164,0.310854289,0.347763246
64,3/24/2020,53892,731,0.071428571,0.999833152,52629,10170,0.264712207,0.341500532
65,3/25/2020,68489,989,0.071428571,0.99978796,66821,14192,0.283877085,0.330084779
66,3/26/2020,85497,1275,0.071428571,0.999735303,83273,16452,0.269066831,0.311506155
67,3/27/2020,102729,1648,0.071428571,0.999681954,99831,16558,0.237364368,0.290558239
68,3/28/2020,123581,2134,0.071428571,0.999617396,119981,20150,0.239463448,0.276395161
69,3/29/2020,142194,2487,0.071428571,0.999559771,137687,17706,0.200112685,0.257921559
70,3/30/2020,163589,3073,0.071428571,0.999493533,157684,19997,0.198345952,0.241848939
71,3/31/2020,188049,3911,0.071428571,0.999417805,179704,22020,0.194076396,0.231758109
