Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 322607393, 392607, 214711, 32914, 0
2, 322543073, 358651, 311094, 34807, 64320
3, 322480914, 346832, 383567, 36312, 62159
4, 322416959, 356080, 437195, 37391, 63955
5, 322348024, 383625, 477694, 38282, 68935
6, 322270965, 429512, 508256, 38892, 77059
7, 322196198, 416586, 594204, 40637, 74767
8, 322122769, 410273, 672347, 42236, 73429
9, 322049703, 406293, 747810, 43819, 73066
10, 321978367, 398892, 825069, 45297, 71336
11, 321909847, 383080, 907770, 46928, 68520
12, 321843898, 368755, 986403, 48569, 65949
13, 321780501, 354556, 1062371, 50197, 63397
14, 321719741, 339242, 1136886, 51756, 60760
15, 321661605, 323735, 1209048, 53237, 58136
16, 321606076, 308958, 1277921, 54670, 55529
17, 321553169, 294631, 1343782, 56043, 52907
18, 321502920, 280534, 1406803, 57368, 50249
19, 321455168, 266808, 1467019, 58630, 47752
20, 321409908, 253382, 1524435, 59900, 45260
21, 321369491, 237854, 1579290, 60990, 40417
22, 321329417, 224694, 1631515, 61999, 40074
23, 321291395, 212216, 1681030, 62984, 38022
24, 321255707, 199989, 1727970, 63959, 35688
25, 321222059, 188238, 1772428, 64900, 33648
26, 321189705, 180086, 1812142, 65692, 32354
27, 321159371, 170263, 1851497, 66494, 30334
28, 321130433, 161124, 1888808, 67260, 28938
29, 321103107, 152716, 1923824, 67978, 27326
30, 321077229, 144915, 1956841, 68640, 25878
31, 321056346, 133427, 1988562, 69290, 20883
32, 321033793, 125635, 2018321, 69876, 22553
33, 321012741, 117733, 2046669, 70482, 21052
34, 320993011, 110132, 2073454, 71028, 19730
35, 320974588, 102664, 2098848, 71525, 18423
36, 320956749, 99618, 2119305, 71953, 17839
37, 320939798, 94012, 2141454, 72361, 16951
38, 320924045, 88710, 2162057, 72813, 15753
39, 320909133, 83892, 2181391, 73209, 14912
40, 320895103, 79496, 2199462, 73564, 14030
41, 320881793, 74965, 2216981, 73886, 13310
42, 320869165, 70641, 2233580, 74239, 12628
43, 320857176, 66876, 2249001, 74572, 11989
44, 320845951, 63188, 2263615, 74871, 11225
45, 320835444, 59663, 2277381, 75137, 10507
46, 320825360, 56435, 2290420, 75410, 10084
47, 320815796, 53369, 2302794, 75666, 9564
48, 320806766, 50410, 2314562, 75887, 9030
49, 320798222, 47729, 2325570, 76104, 8544
50, 320790181, 45263, 2335842, 76339, 8041
51, 320782538, 42822, 2345732, 76533, 7643
52, 320775201, 40595, 2355113, 76716, 7337
53, 320768387, 38379, 2363947, 76912, 6814
54, 320761969, 36253, 2372335, 77068, 6418
55, 320755798, 34383, 2380204, 77240, 6171
56, 320750024, 32514, 2387706, 77381, 5774
57, 320744578, 30623, 2394920, 77504, 5446
58, 320739298, 29089, 2401586, 77652, 5280
59, 320734271, 27698, 2407885, 77771, 5027
60, 320729596, 26202, 2413908, 77919, 4675
61, 320725055, 24969, 2419588, 78013, 4541
62, 320720654, 23924, 2424930, 78117, 4401
63, 320716672, 22626, 2430108, 78219, 3982
64, 320712809, 21462, 2435035, 78319, 3863
65, 320709165, 20431, 2439587, 78442, 3644
66, 320705758, 19297, 2444049, 78521, 3407
67, 320702497, 18157, 2448374, 78597, 3261
68, 320699409, 17263, 2452284, 78669, 3088
69, 320696385, 16424, 2456073, 78743, 3024
70, 320693614, 15551, 2459631, 78829, 2771
71, 320690945, 14813, 2462971, 78896, 2669
72, 320688489, 14008, 2466165, 78963, 2456
73, 320686118, 13291, 2469191, 79025, 2371
74, 320683858, 12527, 2472157, 79083, 2260
75, 320681699, 11915, 2474870, 79141, 2159
76, 320679691, 11254, 2477476, 79204, 2008
77, 320677745, 10744, 2479889, 79247, 1946
78, 320675939, 10179, 2482204, 79303, 1806
79, 320674239, 9619, 2484405, 79362, 1700
80, 320672584, 9115, 2486523, 79403, 1655
81, 320670999, 8692, 2488484, 79450, 1585
82, 320669530, 8215, 2490399, 79481, 1469
83, 320668116, 7823, 2492164, 79522, 1414
84, 320666803, 7436, 2493824, 79562, 1313
85, 320665531, 7053, 2495439, 79602, 1272
86, 320664367, 6632, 2496985, 79641, 1164
87, 320663299, 6231, 2498427, 79668, 1068
88, 320662273, 5843, 2499816, 79693, 1026
89, 320661411, 5392, 2501112, 79710, 862
90, 320660555, 4976, 2502360, 79734, 856
91, 320659726, 4641, 2503502, 79756, 829
92, 320658929, 4370, 2504556, 79770, 797
93, 320658184, 4089, 2505557, 79795, 745
94, 320657460, 3951, 2506400, 79814, 724
95, 320656742, 3813, 2507245, 79825, 718
96, 320656077, 3649, 2508054, 79845, 665
97, 320655459, 3470, 2508831, 79865, 618
98, 320654877, 3307, 2509566, 79875, 582
99, 320654298, 3162, 2510270, 79895, 579
100, 320653784, 2958, 2510976, 79907, 514
101, 320653298, 2779, 2511629, 79919, 486
102, 320652850, 2609, 2512240, 79926, 448
103, 320652432, 2445, 2512813, 79935, 418
104, 320652020, 2278, 2513377, 79950, 412
105, 320651647, 2137, 2513879, 79962, 373
106, 320651299, 1999, 2514356, 79971, 348
107, 320650981, 1869, 2514793, 79982, 318
108, 320650666, 1766, 2515202, 79991, 315
109, 320650343, 1677, 2515605, 80000, 323
110, 320650048, 1599, 2515965, 80013, 295
111, 320649776, 1523, 2516303, 80023, 272
112, 320649508, 1473, 2516615, 80029, 268
113, 320649247, 1419, 2516924, 80035, 261
114, 320649052, 1291, 2517240, 80042, 195
115, 320648838, 1210, 2517532, 80045, 214
116, 320648656, 1120, 2517799, 80050, 182
117, 320648480, 1028, 2518064, 80053, 176
118, 320648312, 935, 2518323, 80055, 168
119, 320648163, 889, 2518515, 80058, 149
120, 320647984, 854, 2518723, 80064, 179
121, 320647811, 845, 2518902, 80067, 173
122, 320647659, 821, 2519076, 80069, 152
123, 320647507, 805, 2519241, 80072, 152
124, 320647375, 788, 2519386, 80076, 132
125, 320647248, 736, 2519563, 80078, 127
126, 320647125, 686, 2519730, 80084, 123
127, 320647018, 641, 2519880, 80086, 107
128, 320646917, 590, 2520030, 80088, 101
129, 320646812, 563, 2520157, 80093, 105
130, 320646721, 527, 2520282, 80095, 91
131, 320646636, 489, 2520403, 80097, 85
132, 320646541, 477, 2520508, 80099, 95
133, 320646459, 458, 2520607, 80101, 82
134, 320646385, 427, 2520710, 80103, 74
135, 320646321, 400, 2520798, 80106, 64
136, 320646245, 391, 2520881, 80108, 76
137, 320646172, 369, 2520975, 80109, 73
138, 320646112, 347, 2521054, 80112, 60
139, 320646040, 345, 2521127, 80113, 72
140, 320645984, 337, 2521189, 80115, 56
141, 320645933, 312, 2521262, 80118, 51
142, 320645886, 286, 2521334, 80119, 47
143, 320645832, 280, 2521394, 80119, 54
144, 320645790, 250, 2521464, 80121, 42
145, 320645748, 236, 2521519, 80122, 42
146, 320645709, 224, 2521569, 80123, 39
147, 320645670, 216, 2521616, 80123, 39
148, 320645635, 197, 2521670, 80123, 35
149, 320645597, 193, 2521710, 80125, 38
150, 320645564, 184, 2521752, 80125, 33
151, 320645526, 183, 2521791, 80125, 38
152, 320645497, 173, 2521830, 80125, 29
153, 320645461, 174, 2521865, 80125, 36
154, 320645428, 169, 2521902, 80126, 33
155, 320645390, 174, 2521935, 80126, 38
156, 320645364, 162, 2521971, 80128, 26
157, 320645323, 174, 2522000, 80128, 41
158, 320645296, 165, 2522036, 80128, 27
159, 320645262, 166, 2522069, 80128, 34
160, 320645242, 148, 2522104, 80131, 20
161, 320645214, 150, 2522130, 80131, 28
162, 320645200, 123, 2522171, 80131, 14
163, 320645180, 116, 2522198, 80131, 20
164, 320645164, 98, 2522232, 80131, 16
165, 320645145, 97, 2522251, 80132, 19
166, 320645126, 88, 2522278, 80133, 19
167, 320645109, 91, 2522292, 80133, 17
168, 320645098, 82, 2522312, 80133, 11
169, 320645079, 85, 2522328, 80133, 19
170, 320645067, 78, 2522347, 80133, 12
171, 320645049, 77, 2522366, 80133, 18
172, 320645032, 77, 2522383, 80133, 17
173, 320645015, 83, 2522394, 80133, 17
174, 320644999, 80, 2522413, 80133, 16
175, 320644988, 79, 2522425, 80133, 11
176, 320644974, 75, 2522443, 80133, 14
177, 320644959, 73, 2522460, 80133, 15
178, 320644949, 66, 2522477, 80133, 10
179, 320644938, 61, 2522492, 80134, 11
180, 320644933, 55, 2522503, 80134, 5
181, 320644921, 53, 2522517, 80134, 12
182, 320644915, 44, 2522532, 80134, 6
183, 320644906, 43, 2522542, 80134, 9
184, 320644898, 40, 2522552, 80135, 8
185, 320644891, 42, 2522557, 80135, 7
186, 320644884, 37, 2522568, 80136, 7
187, 320644875, 40, 2522574, 80136, 9
188, 320644868, 38, 2522582, 80137, 7
189, 320644862, 36, 2522590, 80137, 6
190, 320644856, 35, 2522597, 80137, 6
191, 320644850, 34, 2522604, 80137, 6
192, 320644847, 28, 2522612, 80138, 3
193, 320644843, 25, 2522618, 80139, 4
194, 320644837, 25, 2522624, 80139, 6
195, 320644834, 22, 2522630, 80139, 3
196, 320644830, 20, 2522635, 80140, 4
197, 320644825, 22, 2522638, 80140, 5
198, 320644823, 20, 2522642, 80140, 2
199, 320644817, 20, 2522648, 80140, 6
200, 320644811, 23, 2522651, 80140, 6
201, 320644808, 22, 2522655, 80140, 3
202, 320644806, 19, 2522660, 80140, 2
203, 320644802, 21, 2522662, 80140, 4
204, 320644802, 15, 2522668, 80140, 0
205, 320644802, 9, 2522674, 80140, 0
206, 320644802, 6, 2522677, 80140, 0
207, 320644801, 5, 2522679, 80140, 1
208, 320644801, 1, 2522683, 80140, 0
209, 320644801, 1, 2522683, 80140, 0
210, 320644801, 1, 2522683, 80140, 0
211, 320644801, 1, 2522683, 80140, 0
212, 320644801, 0, 2522684, 80140, 0
