Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 9900000, 100000, 0, 0, 0
2, 9879880, 112921, 7080, 119, 20120
3, 9856873, 129182, 13674, 271, 23007
4, 9830311, 149684, 19614, 391, 26562
5, 9799575, 174665, 25265, 495, 30736
6, 9763158, 205720, 30511, 611, 36417
7, 9720326, 243557, 35409, 708, 42832
8, 9673790, 265795, 59226, 1189, 46536
9, 9625326, 278102, 94658, 1914, 48464
10, 9575068, 289322, 132942, 2668, 50258
11, 9522731, 301763, 172028, 3478, 52337
12, 9468318, 315459, 211928, 4295, 54413
13, 9411871, 330444, 252495, 5190, 56447
14, 9352866, 347076, 294019, 6039, 59005
15, 9290450, 365958, 336741, 6851, 62416
16, 9225262, 387105, 379926, 7707, 65188
17, 9158143, 400020, 433058, 8779, 67119
18, 9089229, 412869, 488031, 9871, 68914
19, 9023657, 420379, 544961, 11003, 65572
20, 8955411, 429060, 603292, 12237, 68246
21, 8883560, 438190, 664729, 13521, 71851
22, 8811162, 445843, 728154, 14841, 72398
23, 8738197, 452297, 793300, 16206, 72965
24, 8664771, 458637, 859011, 17581, 73426
25, 8590609, 466865, 923586, 18940, 74162
26, 8515566, 475450, 988665, 20319, 75043
27, 8440422, 481372, 1056530, 21676, 75144
28, 8365111, 486293, 1125532, 23064, 75311
29, 8289614, 489980, 1195912, 24494, 75497
30, 8213875, 492866, 1267288, 25971, 75739
31, 8139064, 494153, 1339364, 27419, 74811
32, 8064400, 494810, 1411905, 28885, 74664
33, 7990316, 494976, 1484318, 30390, 74084
34, 7916452, 495286, 1556379, 31883, 73864
35, 7843323, 494929, 1628363, 33385, 73129
36, 7771359, 492658, 1701161, 34822, 71964
37, 7700307, 489867, 1773554, 36272, 71052
38, 7629886, 487121, 1845203, 37790, 70421
39, 7560804, 483769, 1916225, 39202, 69082
40, 7492531, 479749, 1987003, 40717, 68273
41, 7425921, 474270, 2057663, 42146, 66610
42, 7360540, 468251, 2127617, 43592, 65381
43, 7296710, 461765, 2196498, 45027, 63830
44, 7234398, 454809, 2264434, 46359, 62312
45, 7173440, 447736, 2331068, 47756, 60958
46, 7113909, 440174, 2396769, 49148, 59531
47, 7055671, 432280, 2461548, 50501, 58238
48, 6999412, 423485, 2525234, 51869, 56259
49, 6944415, 414839, 2587666, 53080, 54997
50, 6891181, 406091, 2648440, 54288, 53234
51, 6838963, 397337, 2708147, 55553, 52218
52, 6790605, 386357, 2766368, 56670, 48358
53, 6742194, 377036, 2822943, 57827, 48411
54, 6695018, 368147, 2877911, 58924, 47176
55, 6649264, 358374, 2932398, 59964, 45754
56, 6604997, 349575, 2984387, 61041, 44267
57, 6562235, 340143, 3035571, 62051, 42762
58, 6520417, 331371, 3085170, 63042, 41818
59, 6480732, 321579, 3133646, 64043, 39685
60, 6441956, 312183, 3180835, 65026, 38776
61, 6404739, 302162, 3227128, 65971, 37217
62, 6368900, 292509, 3271755, 66836, 35839
63, 6334239, 283369, 3314670, 67722, 34661
64, 6301020, 274137, 3356256, 68587, 33219
65, 6272906, 261228, 3396447, 69419, 28114
66, 6242353, 252078, 3435400, 70169, 30553
67, 6213033, 243902, 3472148, 70917, 29320
68, 6185044, 235113, 3508208, 71635, 27989
69, 6158139, 226313, 3543212, 72336, 26905
70, 6132260, 217513, 3577207, 73020, 25879
71, 6109455, 209166, 3607704, 73675, 22805
72, 6090209, 197340, 3638199, 74252, 19246
73, 6067838, 189209, 3668079, 74874, 22371
74, 6046638, 181621, 3696289, 75452, 21200
75, 6026325, 173897, 3723757, 76021, 20313
76, 6006772, 166652, 3750033, 76543, 19553
77, 5989550, 159133, 3774271, 77046, 17222
78, 5971774, 154860, 3795907, 77459, 17776
79, 5954509, 149238, 3818306, 77947, 17265
80, 5937940, 143817, 3839850, 78393, 16569
81, 5922114, 137499, 3861572, 78815, 15826
82, 5907084, 131212, 3882438, 79266, 15030
83, 5892446, 126394, 3901489, 79671, 14638
84, 5878715, 121027, 3920232, 80026, 13731
85, 5865413, 115814, 3938350, 80423, 13302
86, 5852854, 111074, 3955320, 80752, 12559
87, 5840694, 107396, 3970845, 81065, 12160
88, 5829198, 102388, 3987003, 81411, 11496
89, 5819890, 95960, 4002393, 81757, 9308
90, 5809496, 91690, 4016771, 82043, 10394
91, 5799547, 87641, 4030508, 82304, 9949
92, 5790253, 83969, 4043219, 82559, 9294
93, 5781078, 80524, 4055592, 82806, 9175
94, 5772458, 76935, 4067552, 83055, 8620
95, 5765444, 73100, 4078176, 83280, 7014
96, 5757579, 70009, 4088914, 83498, 7865
97, 5751241, 65499, 4099551, 83709, 6338
98, 5744436, 62108, 4109542, 83914, 6805
99, 5737808, 59009, 4119072, 84111, 6628
100, 5732395, 55360, 4127954, 84291, 5413
101, 5726572, 53003, 4135962, 84463, 5823
102, 5721013, 50354, 4143988, 84645, 5559
103, 5715581, 48489, 4151145, 84785, 5432
104, 5710383, 46641, 4158077, 84899, 5198
105, 5705401, 44506, 4165052, 85041, 4982
106, 5700614, 42666, 4171557, 85163, 4787
107, 5696055, 40764, 4177883, 85298, 4559
108, 5691718, 38723, 4184117, 85442, 4337
109, 5687692, 36937, 4189815, 85556, 4026
110, 5684334, 34928, 4195079, 85659, 3358
111, 5680745, 33122, 4200369, 85764, 3589
112, 5677335, 31615, 4205189, 85861, 3410
113, 5674019, 29973, 4210038, 85970, 3316
114, 5670855, 28392, 4214687, 86066, 3164
115, 5667838, 27327, 4218682, 86153, 3017
116, 5664831, 26442, 4222497, 86230, 3007
117, 5661979, 25456, 4226260, 86305, 2852
118, 5659300, 24457, 4229878, 86365, 2679
119, 5656713, 23424, 4233409, 86454, 2587
120, 5654257, 22226, 4236996, 86521, 2456
121, 5651874, 21172, 4240361, 86593, 2383
122, 5649994, 19765, 4243584, 86657, 1880
123, 5647952, 18743, 4246579, 86726, 2042
124, 5645983, 17792, 4249434, 86791, 1969
125, 5644067, 17158, 4251923, 86852, 1916
126, 5642267, 16389, 4254443, 86901, 1800
127, 5640773, 15303, 4256973, 86951, 1494
128, 5639401, 14524, 4259091, 86984, 1372
129, 5637816, 14085, 4261084, 87015, 1585
130, 5636549, 13223, 4263178, 87050, 1267
131, 5635167, 12529, 4265195, 87109, 1382
132, 5633983, 11787, 4267081, 87149, 1184
133, 5632763, 11304, 4268746, 87187, 1220
134, 5631607, 10812, 4270362, 87219, 1156
135, 5630466, 10354, 4271928, 87252, 1141
136, 5629349, 9963, 4273409, 87279, 1117
137, 5628306, 9501, 4274894, 87299, 1043
138, 5627308, 9087, 4276272, 87333, 998
139, 5626332, 8738, 4277578, 87352, 976
