Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 322607393, 392607, 214711, 0, 0
2, 322582046, 389743, 242407, 515, 25347
3, 322556700, 389135, 267840, 1036, 25346
4, 322531268, 390339, 291523, 1581, 25432
5, 322505917, 392948, 313836, 2010, 25351
6, 322479859, 398263, 334167, 2422, 26058
7, 322453554, 405193, 353136, 2828, 26305
8, 322426313, 414480, 370743, 3175, 27241
9, 322398463, 425557, 387152, 3539, 27850
10, 322371743, 436780, 402329, 3859, 26720
11, 322342459, 451858, 416264, 4130, 29284
12, 322311573, 469415, 429312, 4411, 30886
13, 322283173, 485475, 441392, 4671, 28400
14, 322250025, 506993, 452784, 4909, 33148
15, 322215469, 530966, 463144, 5132, 34556
16, 322179092, 557422, 472887, 5310, 36377
17, 322142798, 559361, 506505, 6047, 36294
18, 322106118, 562015, 539845, 6733, 36680
19, 322069333, 565405, 572620, 7353, 36785
20, 322032036, 569807, 604874, 7994, 37297
21, 321994565, 574229, 637256, 8661, 37471
22, 321956593, 579523, 669299, 9296, 37972
23, 321918827, 584116, 701809, 9959, 37766
24, 321880382, 589262, 734412, 10655, 38445
25, 321841384, 596536, 765534, 11257, 38998
26, 321802487, 601441, 798834, 11949, 38897
27, 321763083, 605572, 833413, 12643, 39404
28, 321723114, 613148, 865127, 13322, 39969
29, 321682835, 616488, 901378, 14010, 40279
30, 321642437, 618794, 938691, 14789, 40398
31, 321602118, 619518, 977500, 15575, 40319
32, 321561619, 620666, 1016119, 16307, 40499
33, 321520929, 621801, 1054852, 17129, 40690
34, 321480777, 622544, 1093443, 17947, 40152
35, 321440095, 623537, 1132415, 18664, 40682
36, 321405139, 618737, 1171382, 19453, 34956
37, 321364735, 619069, 1210643, 20264, 40404
38, 321324582, 619536, 1249571, 21022, 40153
39, 321284015, 619893, 1288991, 21812, 40567
40, 321243619, 619633, 1328818, 22641, 40396
41, 321203158, 619667, 1368426, 23460, 40461
42, 321162862, 619056, 1408519, 24274, 40296
43, 321122653, 617952, 1448993, 25113, 40209
44, 321082547, 616554, 1489694, 25916, 40106
45, 321042342, 615179, 1530433, 26757, 40205
46, 321004995, 611100, 1571062, 27554, 37347
47, 320964995, 609625, 1611699, 28392, 40000
48, 320925555, 607466, 1652501, 29189, 39440
49, 320886122, 605906, 1692666, 30017, 39433
50, 320846556, 603922, 1733294, 30939, 39566
51, 320806919, 607845, 1768305, 31642, 39637
52, 320767811, 605857, 1808585, 32458, 39108
53, 320728620, 604239, 1848583, 33269, 39191
54, 320689490, 602150, 1888952, 34119, 39130
55, 320650500, 600180, 1929069, 34962, 38990
56, 320611689, 598043, 1969173, 35806, 38811
57, 320573165, 595799, 2009079, 36668, 38524
58, 320542599, 585724, 2048883, 37505, 30566
59, 320504098, 583717, 2088554, 38342, 38501
60, 320468936, 578293, 2128357, 39125, 35162
61, 320434581, 574953, 2165342, 39835, 34355
62, 320397646, 571581, 2204815, 40669, 36935
63, 320361085, 568407, 2243720, 41499, 36561
64, 320328335, 561445, 2282623, 42308, 32750
65, 320292212, 557741, 2321661, 43097, 36123
66, 320262285, 547813, 2360743, 43870, 29927
67, 320226826, 543937, 2399299, 44649, 35459
68, 320192028, 539325, 2437951, 45407, 34798
69, 320157041, 534969, 2476501, 46200, 34987
70, 320122456, 530390, 2514854, 47011, 34585
71, 320088328, 525553, 2553013, 47817, 34128
72, 320058007, 517204, 2590904, 48596, 30321
73, 320024401, 520074, 2621064, 49172, 33606
74, 319991116, 514723, 2658944, 49928, 33285
75, 319957948, 512613, 2693495, 50655, 33168
76, 319930332, 505765, 2727298, 51316, 27616
77, 319905016, 494055, 2763559, 52081, 25316
78, 319873191, 489215, 2799477, 52828, 31825
79, 319855423, 474133, 2831678, 53477, 17768
80, 319828925, 464424, 2867140, 54222, 26498
81, 319799006, 464327, 2896545, 54833, 29919
82, 319771435, 456363, 2931358, 55555, 27571
83, 319742314, 450614, 2965554, 56229, 29121
84, 319713586, 444287, 2999866, 56972, 28728
85, 319685023, 438217, 3033784, 57687, 28563
86, 319656959, 432099, 3067278, 58375, 28064
87, 319628986, 429699, 3097039, 58987, 27973
88, 319601553, 423471, 3130011, 59676, 27433
89, 319576787, 414913, 3162684, 60327, 24766
90, 319550450, 408037, 3195219, 61005, 26337
91, 319528522, 402304, 3222338, 61547, 21928
92, 319502216, 403264, 3247179, 62052, 26306
93, 319476365, 397264, 3278436, 62646, 25851
94, 319450217, 405613, 3295901, 62980, 26148
95, 319423856, 405448, 3321892, 63515, 26361
96, 319397709, 401651, 3351246, 64105, 26147
97, 319371958, 399812, 3378278, 64663, 25751
98, 319346549, 396071, 3406865, 65226, 25409
99, 319326254, 387613, 3435059, 65785, 20295
100, 319304362, 380929, 3463119, 66301, 21892
101, 319280293, 376913, 3490629, 66876, 24069
102, 319256128, 373086, 3518025, 67472, 24165
103, 319232147, 369620, 3544938, 68006, 23981
104, 319207970, 369014, 3569238, 68489, 24177
105, 319184413, 366219, 3595062, 69017, 23557
106, 319160613, 368080, 3616531, 69487, 23800
107, 319142609, 359762, 3642338, 70002, 18004
108, 319119690, 356819, 3667693, 70509, 22919
109, 319096898, 353445, 3693371, 70997, 22792
110, 319076008, 347970, 3719201, 71532, 20890
111, 319053699, 344126, 3744829, 72057, 22309
112, 319031663, 340399, 3770074, 72575, 22036
113, 319009623, 337018, 3794984, 73086, 22040
114, 318987803, 338540, 3814879, 73489, 21820
115, 318967777, 336666, 3836309, 73959, 20026
116, 318946589, 333775, 3859865, 74482, 21188
117, 318925153, 331042, 3883573, 74943, 21436
118, 318903783, 328427, 3907084, 75417, 21370
119, 318882712, 325316, 3930803, 75880, 21071
120, 318861747, 322717, 3953914, 76333, 20965
121, 318841043, 319618, 3977234, 76816, 20704
122, 318820368, 322285, 3994865, 77193, 20675
123, 318800587, 319145, 4017273, 77706, 19781
124, 318780300, 316638, 4039577, 78196, 20287
125, 318759831, 316213, 4060043, 78624, 20469
126, 318739312, 314419, 4081903, 79077, 20519
127, 318719227, 312468, 4103480, 79536, 20085
128, 318702176, 307478, 4125072, 79985, 17051
129, 318686123, 301709, 4146467, 80412, 16053
130, 318666864, 300942, 4166075, 80830, 19259
131, 318647635, 298979, 4186858, 81239, 19229
132, 318628817, 296361, 4207890, 81643, 18818
133, 318609685, 294120, 4228806, 82100, 19132
134, 318590792, 291942, 4249451, 82526, 18893
135, 318572175, 289593, 4269962, 82981, 18617
136, 318553735, 287328, 4290264, 83384, 18440
137, 318538483, 281905, 4310548, 83775, 15252
138, 318520536, 280071, 4329959, 84145, 17947
139, 318506425, 273893, 4349840, 84553, 14111
140, 318493105, 266744, 4369905, 84957, 13320
141, 318476194, 263134, 4390031, 85352, 16911
142, 318459593, 259650, 4409680, 85788, 16601
143, 318442842, 259348, 4426384, 86137, 16751
144, 318426186, 259951, 4442132, 86442, 16656
145, 318409594, 257282, 4461013, 86822, 16592
146, 318396812, 250834, 4479855, 87210, 12782
147, 318381990, 246835, 4498305, 87581, 14822
148, 318366394, 243297, 4517029, 87991, 15596
149, 318351100, 239698, 4535555, 88358, 15294
150, 318339371, 232808, 4553812, 88720, 11729
151, 318324615, 229124, 4571853, 89119, 14756
152, 318309882, 228604, 4586815, 89410, 14733
153, 318295428, 225111, 4604404, 89768, 14454
154, 318280911, 225517, 4618236, 90047, 14517
155, 318266160, 226947, 4631300, 90304, 14751
156, 318254751, 221445, 4647853, 90662, 11409
157, 318240588, 219007, 4664142, 90974, 14163
158, 318226328, 216516, 4680504, 91363, 14260
159, 318212562, 213625, 4696840, 91684, 13766
160, 318201490, 208105, 4713086, 92030, 11072
161, 318188154, 208659, 4725604, 92294, 13336
162, 318174810, 207181, 4740100, 92620, 13344
163, 318164133, 202262, 4755404, 92912, 10677
164, 318151130, 199971, 4770407, 93203, 13003
165, 318138275, 201097, 4781903, 93436, 12855
166, 318125349, 199267, 4796400, 93695, 12926
167, 318112668, 197214, 4810818, 94011, 12681
168, 318100113, 195315, 4824958, 94325, 12555
169, 318087773, 193138, 4839240, 94560, 12340
170, 318077424, 188736, 4853670, 94881, 10349
171, 318068020, 186731, 4864845, 95115, 9404
172, 318058410, 182178, 4878727, 95396, 9610
173, 318046660, 179668, 4892708, 95675, 11750
174, 318037565, 174997, 4906197, 95952, 9095
175, 318026323, 175167, 4917040, 96181, 11242
176, 318015152, 173002, 4930122, 96435, 11171
177, 318004111, 170699, 4943202, 96699, 11041
178, 317993127, 171006, 4953644, 96934, 10984
179, 317982323, 168807, 4966364, 97217, 10804
180, 317972277, 165998, 4978955, 97481, 10046
181, 317961719, 163630, 4991647, 97715, 10558
182, 317951329, 161339, 5004076, 97967, 10390
183, 317941105, 159008, 5016378, 98220, 10224
184, 317931012, 156761, 5028482, 98456, 10093
185, 317920926, 156498, 5038629, 98658, 10086
186, 317910941, 157079, 5047818, 98873, 9985
187, 317900830, 157580, 5057239, 99062, 10111
188, 317890675, 155985, 5068757, 99294, 10155
189, 317881732, 155833, 5077679, 99467, 8943
190, 317871694, 154629, 5088673, 99715, 10038
191, 317861845, 153307, 5099634, 99925, 9849
192, 317852112, 151999, 5110446, 100154, 9733
193, 317842280, 150847, 5121198, 100386, 9832
194, 317832712, 149611, 5131804, 100584, 9568
195, 317823085, 149192, 5141643, 100791, 9627
196, 317813476, 148243, 5151988, 101004, 9609
197, 317803947, 147382, 5162175, 101207, 9529
198, 317795165, 145940, 5172190, 101416, 8782
199, 317785847, 145165, 5182079, 101620, 9318
200, 317776613, 144313, 5191996, 101789, 9234
201, 317767316, 143625, 5201784, 101986, 9297
202, 317758185, 142645, 5211697, 102184, 9131
203, 317750916, 139759, 5221653, 102383, 7269
204, 317741845, 139887, 5230428, 102551, 9071
205, 317733877, 137817, 5240268, 102749, 7968
206, 317725140, 136705, 5249946, 102920, 8737
207, 317717611, 134501, 5259483, 103116, 7529
208, 317709301, 132979, 5269136, 103295, 8310
209, 317700851, 131861, 5278504, 103495, 8450
210, 317694014, 129071, 5287941, 103685, 6837
211, 317685695, 127781, 5297348, 103887, 8319
212, 317677606, 126341, 5306664, 104100, 8089
213, 317669618, 125547, 5315271, 104275, 7988
