Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 322607393, 392607, 214711, 0, 0
2, 322516673, 455400, 242105, 533, 90720
3, 322409825, 536099, 267749, 1038, 106848
4, 322284148, 637547, 291452, 1564, 125677
5, 322131173, 768280, 313255, 2003, 152975
6, 321944394, 934146, 333765, 2406, 186779
7, 321716792, 1142337, 352795, 2787, 227602
8, 321436897, 1404274, 370420, 3120, 279895
9, 321091933, 1732471, 386868, 3439, 344964
10, 320665805, 2143151, 402006, 3749, 426128
11, 320138079, 2656411, 416209, 4012, 527726
12, 319636996, 3143894, 429525, 4296, 501083
13, 318864686, 3903700, 441753, 4572, 772310
14, 317905407, 4851464, 453055, 4785, 959279
15, 316716557, 6029623, 463129, 5402, 1188850
16, 315243554, 7492855, 472388, 5914, 1473003
17, 313590629, 9045892, 566603, 11587, 1652925
18, 311430938, 11090397, 675590, 17786, 2159691
19, 309512213, 12875296, 802016, 25186, 1918725
20, 306736791, 15490470, 953450, 34000, 2775422
21, 303510486, 18523171, 1136507, 44547, 3226305
22, 299247855, 22551745, 1357611, 57500, 4262631
23, 294461160, 27052650, 1627583, 73318, 4786695
24, 289540271, 31623088, 1958698, 92654, 4920889
25, 282952979, 37779143, 2366245, 116344, 6587292
26, 276438016, 43761669, 2869104, 145922, 6514963
27, 269876300, 49817794, 3346715, 173902, 6561716
28, 263533837, 55383921, 4080525, 216428, 6342463
29, 257532979, 60421706, 4990386, 269640, 6000858
30, 251154597, 65607671, 6117085, 335358, 6378382
31, 242136496, 73149422, 7511920, 416873, 9018101
32, 234865843, 78764141, 9076773, 507954, 7270653
33, 227408964, 84058474, 11120318, 626955, 7456879
34, 219473713, 90072359, 12935874, 732765, 7935251
35, 213663804, 93104404, 15560528, 885975, 5809909
36, 209493587, 94046135, 18611367, 1063622, 4170217
37, 204683700, 94591274, 22641083, 1298654, 4809887
38, 202311685, 92174607, 27166091, 1562328, 2372015
39, 198815356, 90748300, 31817835, 1833220, 3496329
40, 194959005, 88015648, 38044259, 2195799, 3856351
41, 189278736, 87179389, 44202775, 2553811, 5680269
42, 186557115, 83337887, 50405345, 2914364, 2721621
43, 184935557, 78615648, 56400407, 3263099, 1621558
44, 183787316, 73761774, 62072367, 3593254, 1148241
45, 182197319, 68972283, 68100723, 3944386, 1589997
46, 180951803, 61198612, 76622667, 4441629, 1245516
47, 177463555, 57415210, 83492788, 4843158, 3488248
48, 176175040, 51245926, 90540224, 5253521, 1288515
49, 174975417, 44509449, 98038757, 5691088, 1199623
50, 174182520, 39491603, 103529298, 6011290, 792897
51, 173589673, 35913490, 107471037, 6240511, 592847
52, 172992036, 31700542, 112017405, 6504728, 597637
53, 171983286, 30336627, 114259331, 6635467, 1008750
54, 171458607, 27364382, 117563754, 6827968, 524679
55, 170246628, 24719460, 121208087, 7040536, 1211979
56, 169279614, 20005684, 126576634, 7352779, 967014
57, 168908959, 17654249, 129149092, 7502411, 370655
58, 168163185, 16778035, 130681618, 7591873, 745774
59, 168009856, 15782748, 131767276, 7654831, 153329
60, 167813883, 14388355, 133270127, 7742346, 195973
61, 167497113, 13459251, 134447010, 7811337, 316770
62, 167134055, 10333742, 137743525, 8003389, 363058
63, 166996684, 9182284, 138961465, 8074278, 137371
64, 166645495, 8333569, 140095534, 8140113, 351189
65, 166547826, 7638078, 140845392, 8183415, 97669
66, 166392253, 7200575, 141405569, 8216314, 155573
67, 166279836, 6715124, 141970524, 8249227, 112417
68, 166155249, 5830762, 142923793, 8304907, 124587
69, 166069379, 5391775, 143419625, 8333932, 85870
