Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 322607393, 392607, 214711, 0, 0
2, 322562012, 409760, 242376, 563, 45381
3, 322513893, 432043, 267677, 1098, 48119
4, 322462946, 458780, 291376, 1609, 50947
5, 322408696, 490655, 313349, 2011, 54250
6, 322349537, 528820, 333916, 2438, 59159
7, 322285784, 573300, 352820, 2807, 63753
8, 322216579, 624389, 370598, 3145, 69205
9, 322140842, 683546, 386853, 3470, 75737
10, 322057410, 751528, 401975, 3798, 83432
11, 321965379, 829191, 416085, 4056, 92031
12, 321863742, 917694, 428939, 4336, 101637
13, 321750869, 1018045, 441221, 4576, 112873
14, 321625902, 1131350, 452622, 4837, 124967
15, 321486063, 1260460, 463124, 5064, 139839
16, 321330713, 1405900, 472851, 5247, 155350
17, 321163900, 1518153, 526250, 6408, 166813
18, 320981984, 1643424, 581741, 7562, 181916
19, 320784833, 1781666, 639482, 8730, 197151
20, 320571518, 1933255, 699948, 9990, 213315
21, 320339835, 2098788, 764815, 11273, 231683
22, 320088574, 2279883, 833616, 12638, 251261
23, 319816516, 2476900, 907147, 14148, 272058
24, 319520127, 2692057, 986736, 15791, 296389
25, 319201334, 2922230, 1073564, 17583, 318793
26, 318851357, 3175433, 1168413, 19508, 349977
27, 318502401, 3418284, 1272385, 21641, 348956
28, 318095838, 3707862, 1386976, 24035, 406563
29, 317656561, 4018365, 1508642, 31143, 439277
30, 317197809, 4333830, 1644083, 38989, 458752
31, 316713375, 4659594, 1793997, 47745, 484434
32, 316164884, 5038264, 1954511, 57052, 548491
33, 315571643, 5446849, 2128927, 67292, 593241
34, 314943236, 5875452, 2317608, 78415, 628407
35, 314257600, 6345327, 2521416, 90368, 685636
36, 313598220, 6770754, 2742566, 103171, 659380
37, 312876150, 7239444, 2981890, 117227, 722070
38, 312035343, 7806234, 3240434, 132700, 840807
39, 311416762, 8126563, 3522368, 149018, 618581
40, 310527546, 8695370, 3825554, 166241, 889216
41, 309576289, 9295078, 4157694, 185650, 951257
42, 308590954, 9930045, 4489094, 204618, 985335
43, 307654714, 10458429, 4874498, 227070, 936240
44, 306577061, 11095479, 5290833, 251338, 1077653
45, 305569253, 11643409, 5725098, 276951, 1007808
46, 304404151, 12323036, 6184003, 303521, 1165102
47, 303166470, 13011219, 6703185, 333837, 1237681
48, 301815783, 13767719, 7264483, 366726, 1350687
49, 300512678, 14441596, 7858938, 401499, 1303105
50, 298974131, 15293706, 8507332, 439542, 1538547
51, 297443533, 16164163, 9131220, 475795, 1530598
52, 295790721, 17094209, 9814278, 515503, 1652812
53, 294079630, 17963902, 10609401, 561778, 1711091
54, 292570547, 18853844, 11194401, 595919, 1509083
55, 290674731, 19859908, 12034898, 645174, 1895816
56, 288936849, 20646055, 12934427, 697380, 1737882
57, 287517381, 21079703, 13865735, 751892, 1419468
58, 286776649, 20883736, 14751207, 803119, 740732
59, 285588249, 20994065, 15769335, 863062, 1188400
60, 284192877, 21381278, 16722194, 918362, 1395372
61, 282674508, 21734177, 17823509, 982517, 1518369
62, 280758122, 22412571, 18993282, 1050736, 1916386
63, 278998671, 22821049, 20269950, 1125041, 1759451
64, 277417062, 23099282, 21501539, 1196828, 1581609
65, 276020921, 22956620, 22955243, 1281927, 1396141
66, 274405450, 23041236, 24401466, 1366559, 1615471
67, 273302793, 22490846, 25963485, 1457587, 1102657
68, 271788890, 22293459, 27580344, 1552018, 1513903
69, 271329485, 21243571, 29006732, 1634923, 459405
70, 269764536, 20912526, 30798406, 1739243, 1564949
71, 268509784, 20429231, 32440517, 1835179, 1254752
72, 267247027, 20272362, 33781892, 1913430, 1262757
73, 266314849, 20463672, 34482060, 1954130, 932178
74, 264640230, 20949754, 35605539, 2019188, 1674619
75, 263746314, 20448186, 36924033, 2096178, 893916
76, 262475204, 20200823, 38358575, 2180109, 1271110
77, 261284741, 19474795, 40169200, 2285975, 1190463
78, 260318929, 18681063, 41832023, 2382696, 965812
79, 259193501, 18224788, 43326586, 2469836, 1125428
80, 258263808, 17758236, 44645926, 2546741, 929693
81, 257399299, 17007198, 46172724, 2635490, 864509
82, 256943201, 16360577, 47215062, 2695871, 456098
83, 255813518, 15976291, 48645496, 2779406, 1129683
84, 255080673, 16249673, 49079688, 2804677, 732845
85, 254581619, 15183724, 50558928, 2890440, 499054
86, 254049837, 14460705, 51744324, 2959845, 531782
87, 253280018, 13967714, 52937807, 3029172, 769819
88, 252803430, 13512079, 53818662, 3080540, 476588
89, 252189027, 12451818, 55400873, 3172993, 614403
90, 251826686, 11920202, 56245494, 3222329, 362341
91, 251002507, 11473239, 57446742, 3292223, 824179
92, 250720665, 10564570, 58571711, 3357765, 281842
93, 250403553, 9915839, 59484089, 3411230, 317112
94, 250295200, 8898738, 60547568, 3473205, 108353
95, 250136260, 8127946, 61426166, 3524339, 158940
96, 249670802, 7728858, 62242956, 3572095, 465458
97, 249307485, 7636052, 62673873, 3597301, 363317
98, 249108000, 6705832, 63741461, 3659418, 199485
99, 248894291, 6186672, 64433884, 3699864, 213709
100, 248718668, 5863220, 64905342, 3727481, 175623
101, 248438612, 5611472, 65407935, 3756692, 280056
102, 248172384, 5107862, 66135781, 3798684, 266228
103, 248098284, 4705356, 66585887, 3825184, 74100
104, 247948904, 4240321, 67166005, 3859481, 149380
105, 247799979, 4026891, 67508218, 3879623, 148925
106, 247650727, 3351941, 68287160, 3924883, 149252
107, 247462388, 3258429, 68553530, 3940364, 188339
108, 247318716, 3084976, 68864419, 3946600, 143672
109, 247236690, 3058642, 68970604, 3948775, 82026
110, 247209082, 2927305, 69126354, 3951970, 27608
111, 247073639, 2597283, 69582452, 3961337, 135443
112, 247003945, 2303653, 69938422, 3968691, 69694
113, 246934187, 2173918, 70133941, 3972665, 69758
114, 246875672, 2018712, 70343302, 3977025, 58515
115, 246851472, 1867285, 70515433, 3980521, 24200
116, 246796298, 1642394, 70789831, 3986188, 55174
