Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 322607393, 392607, 214711, 0, 0
2, 322596509, 375390, 242287, 525, 10884
3, 322585952, 360151, 267559, 1049, 10557
4, 322575901, 346053, 291176, 1581, 10051
5, 322566211, 333293, 313183, 2024, 9690
6, 322556663, 321942, 333650, 2456, 9548
7, 322547539, 311601, 352719, 2852, 9124
8, 322538791, 302349, 370358, 3213, 8748
9, 322530145, 294226, 386772, 3568, 8646
10, 322521808, 287024, 401989, 3890, 8337
11, 322513719, 280533, 416275, 4184, 8089
12, 322505701, 275107, 429432, 4471, 8018
13, 322497822, 270666, 441493, 4730, 7879
14, 322490028, 266883, 452851, 4949, 7794
15, 322482374, 263849, 463352, 5136, 7654
16, 322474710, 261644, 473007, 5350, 7664
17, 322467519, 248802, 492627, 5763, 7191
18, 322460701, 236532, 511350, 6128, 6818
19, 322454110, 225182, 528915, 6504, 6591
20, 322447754, 214462, 545649, 6846, 6356
21, 322441796, 204028, 561690, 7197, 5958
22, 322436327, 193845, 577056, 7483, 5469
23, 322430903, 184659, 591356, 7793, 5424
24, 322425963, 175515, 605163, 8070, 4940
25, 322421216, 166772, 618385, 8338, 4747
26, 322416575, 158606, 630940, 8590, 4641
27, 322412053, 150632, 643188, 8838, 4522
28, 322407786, 142989, 654853, 9083, 4267
29, 322403897, 135228, 666270, 9316, 3889
30, 322400168, 127768, 677239, 9536, 3729
31, 322396701, 120381, 687859, 9770, 3467
32, 322393355, 113566, 697823, 9967, 3346
33, 322390289, 107009, 707256, 10157, 3066
34, 322387276, 100790, 716305, 10340, 3013
35, 322384528, 94850, 724828, 10505, 2748
36, 322381950, 89203, 732903, 10655, 2578
37, 322379494, 84105, 740293, 10819, 2456
38, 322377185, 78993, 747560, 10973, 2309
39, 322375040, 74385, 754192, 11094, 2145
40, 322373020, 69988, 760498, 11205, 2020
41, 322371166, 65654, 766553, 11338, 1854
42, 322369441, 61413, 772426, 11431, 1725
43, 322367741, 57477, 777973, 11520, 1700
44, 322366149, 53939, 782989, 11634, 1592
45, 322364709, 50508, 787758, 11736, 1440
46, 322363422, 47280, 792171, 11838, 1287
47, 322362136, 44215, 796434, 11926, 1286
48, 322360878, 41466, 800361, 12006, 1258
49, 322359748, 38693, 804185, 12085, 1130
50, 322358732, 36224, 807572, 12183, 1016
51, 322357730, 33906, 810830, 12245, 1002
52, 322356948, 31494, 813956, 12313, 782
53, 322356058, 29434, 816829, 12390, 890
54, 322355280, 27481, 819496, 12454, 778
55, 322354520, 25669, 822023, 12499, 760
56, 322353820, 24001, 824345, 12545, 700
57, 322353142, 22420, 826553, 12596, 678
58, 322352585, 20816, 828684, 12626, 557
59, 322352034, 19386, 830607, 12684, 551
60, 322351510, 18074, 832405, 12722, 524
61, 322351044, 16903, 834009, 12755, 466
62, 322350627, 15708, 835590, 12786, 417
63, 322347164, 17606, 837128, 12813, 3463
64, 322343046, 20337, 838480, 12848, 4118
65, 322338284, 23852, 839704, 12871, 4762
66, 322332587, 28320, 840913, 12891, 5697
67, 322325846, 34044, 841912, 12909, 6741
68, 322317680, 41121, 842976, 12934, 8166
69, 322307782, 50036, 843935, 12958, 9898
70, 322295580, 61298, 844854, 12979, 12202
71, 322280383, 75641, 845687, 13000, 15197
72, 322261581, 93614, 846502, 13014, 18802
73, 322238508, 115971, 847202, 13030, 23073
74, 322209814, 143977, 847877, 13043, 28694
75, 322174116, 179028, 848514, 13053, 35698
76, 322129631, 222944, 849073, 13063, 44485
77, 322074225, 277829, 849585, 13072, 55406
78, 322006049, 342453, 853070, 13139, 68176
79, 321921625, 422665, 857189, 13232, 84424
80, 321818042, 521416, 861917, 13336, 103583
81, 321689674, 644000, 867588, 13449, 128368
82, 321530882, 795965, 874279, 13585, 158792
83, 321335023, 983602, 882332, 13754, 195859
84, 321092438, 1216214, 892137, 13922, 242585
85, 320795133, 1501260, 904181, 14137, 297305
86, 320426655, 1854480, 919127, 14449, 368478
87, 319971846, 2290443, 937593, 14829, 454809
88, 319441893, 2797270, 960236, 15312, 529953
89, 318760517, 3449919, 988367, 15908, 681376
90, 317919927, 4254773, 1023407, 16604, 840590
91, 316886291, 5243877, 1065594, 18949, 1033636
92, 315725944, 6348774, 1118078, 21915, 1160347
93, 314194445, 7812063, 1182559, 25644, 1531499
94, 312669713, 9252331, 1262472, 30195, 1524732
95, 310467331, 11351106, 1360378, 35896, 2202382
96, 307795208, 13894833, 1481805, 42865, 2672123
97, 304742809, 16788410, 1631993, 51499, 3052399
98, 301360022, 19975313, 1816942, 62434, 3382787
99, 296957625, 24135106, 2046317, 75663, 4402397
100, 292478203, 28317203, 2327450, 91855, 4479422
101, 286331915, 34094997, 2675650, 112149, 6146288
102, 279772088, 40199999, 3105397, 137227, 6559827
