Day, Susceptible, Infected, Recovered, Dead, New Cases
1,322607393,392607,214711,0,0
2,322603764,368401,241986,560,3629
3,322600298,346095,267243,1075,3466
4,322597079,325046,291015,1571,3219
5,322594032,305617,313025,2037,3047
6,322591198,287440,333616,2457,2834
7,322588516,270776,352585,2834,2682
8,322585965,255154,370393,3199,2551
9,322583610,240577,386948,3576,2355
10,322581343,227217,402272,3879,2267
11,322579088,215039,416418,4166,2255
12,322577026,203871,429400,4414,2062
13,322575111,193302,441635,4663,1915
14,322573285,183636,452896,4894,1826
15,322571567,174652,463354,5138,1718
16,322569872,166403,473095,5341,1695
17,322568330,155150,485624,5607,1542
18,322566889,144420,497554,5848,1441
19,322565569,134606,508471,6065,1320
20,322564342,125504,518588,6277,1227
21,322563202,116989,528050,6470,1140
22,322562136,109077,536857,6641,1066
23,322561100,101692,545097,6822,1036
24,322560160,94827,552752,6972,940
25,322559254,88422,559910,7125,906
26,322558429,82008,567000,7274,825
27,322557715,76266,573341,7389,714
28,322557035,71013,579155,7508,680
29,322556348,66072,584687,7604,687
30,322555705,61511,589777,7718,643
31,322555144,57253,594504,7810,561
32,322554643,53217,598934,7917,501
33,322554186,49447,603077,8001,457
34,322553769,45903,606953,8086,417
35,322553304,42776,610474,8157,465
36,322552947,39692,613861,8211,357
37,322552592,36904,616945,8270,355
38,322552251,34292,619840,8328,341
39,322551905,31941,622481,8384,346
40,322551611,29606,625056,8438,294
41,322551322,27557,627350,8482,289
42,322551061,25635,629488,8527,261
43,322550843,23789,631503,8576,218
44,322550641,22011,633450,8609,202
45,322550449,20422,635204,8636,192
46,322550242,18989,636818,8662,207
47,322550049,17684,638279,8699,193
48,322549905,16456,639628,8722,144
49,322549751,15340,640877,8743,154
50,322549614,14199,642136,8762,137
51,322549485,13241,643195,8790,129
52,322549361,12296,644238,8816,124
53,322549260,11416,645192,8843,101
54,322549157,10596,646096,8862,103
55,322549069,9860,646904,8878,88
56,322548989,9134,647686,8902,80
57,322548904,8520,648371,8916,85
58,322548821,7951,649009,8930,83
59,322548745,7409,649613,8944,76
60,322548690,6876,650186,8959,55
61,322548625,6386,650731,8969,65
62,322548567,5914,651248,8982,58
63,322548497,5507,651715,8992,70
64,322548442,5105,652160,9004,55
65,322548386,4734,652573,9018,56
66,322548340,4439,652906,9026,46
67,322548303,4114,653257,9037,37
68,322548266,3807,653595,9043,37
69,322548235,3521,653902,9053,31
70,322548204,3278,654166,9063,31
71,322548170,3040,654432,9069,34
72,322548148,2813,654679,9071,22
73,322548118,2620,654894,9079,30
74,322548093,2442,655091,9085,25
75,322548062,2294,655265,9090,31
76,322548038,2123,655459,9091,24
77,322548021,1963,655634,9093,17
78,322548007,1801,655804,9099,14
79,322547994,1676,655941,9100,13
80,322547983,1541,656082,9105,11
81,322547967,1445,656191,9108,16
82,322547952,1355,656295,9109,15
