Day, Susceptible, Infected, Recovered, Dead, New Cases
1,322607393,392607,214711,0,0
2,322603781,367775,242627,528,3612
3,322600324,345197,268148,1042,3457
4,322597141,324146,291892,1532,3183
5,322594176,304599,313940,1996,2965
6,322591310,286824,334174,2403,2866
7,322588602,270321,353007,2781,2708
8,322586012,254745,370822,3132,2590
9,322583663,240439,387161,3448,2349
10,322581511,226986,402452,3762,2152
11,322579354,214841,416447,4069,2157
12,322577265,203650,429435,4361,2089
13,322575400,193193,441499,4619,1865
14,322573575,183606,452700,4830,1825
15,322571805,174594,463277,5035,1770
16,322570128,166303,473033,5247,1677
17,322568564,155129,485541,5477,1564
18,322567126,144456,497389,5740,1438
19,322565828,134695,508232,5956,1298
20,322564626,125528,518389,6168,1202
21,322563482,116798,528090,6341,1144
22,322562440,108824,536964,6483,1042
23,322561463,101315,545285,6648,977
24,322560513,94338,553046,6814,950
25,322559646,87897,560204,6964,867
26,322558788,81836,566984,7103,858
27,322558001,76131,573327,7252,787
28,322557260,70983,579107,7361,741
29,322556610,66061,584559,7481,650
30,322555996,61416,589724,7575,614
31,322555400,56964,594670,7677,596
32,322554865,52902,599168,7776,535
33,322554399,49226,603222,7864,466
34,322553930,45721,607107,7953,469
35,322553513,42529,610638,8031,417
36,322553125,39492,613992,8102,388
37,322552781,36594,617169,8167,344
38,322552416,34062,620001,8232,365
39,322552137,31589,622701,8284,279
40,322551840,29346,625188,8337,297
41,322551589,27167,627574,8381,251
42,322551319,25192,629778,8422,270
43,322551092,23317,631855,8447,227
44,322550861,21721,633641,8488,231
45,322550656,20187,635347,8521,205
46,322550465,18739,636957,8550,191
47,322550314,17409,638402,8586,151
48,322550149,16237,639722,8603,165
49,322550003,15057,641030,8621,146
50,322549863,13955,642253,8640,140
51,322549721,12913,643417,8660,142
52,322549594,12021,644420,8676,127
53,322549489,11142,645390,8690,105
54,322549382,10364,646254,8711,107
55,322549283,9646,647052,8730,99
56,322549200,8988,647777,8746,83
57,322549122,8317,648509,8763,78
58,322549045,7725,649153,8788,77
59,322548984,7161,649766,8800,61
60,322548914,6642,650342,8813,70
61,322548845,6151,650893,8822,69
62,322548787,5738,651356,8830,58
63,322548736,5356,651778,8841,51
64,322548700,4959,652200,8852,36
65,322548646,4616,652594,8855,54
66,322548611,4282,652954,8864,35
67,322548581,3951,653307,8872,30
68,322548544,3682,653608,8877,37
69,322548518,3411,653902,8880,26
70,322548490,3163,654174,8884,28
71,322548460,2962,654401,8888,30
72,322548440,2748,654629,8894,20
73,322548420,2546,654848,8897,20
74,322548398,2385,655027,8901,22
75,322548375,2203,655227,8906,23
76,322548360,2015,655426,8910,15
77,322548341,1875,655583,8912,19
78,322548324,1731,655740,8916,17
79,322548311,1615,655867,8918,13
80,322548297,1484,656011,8919,14
81,322548295,1371,656126,8919,2
82,322548280,1276,656231,8924,15
83,322548273,1168,656345,8925,7
84,322548265,1091,656427,8928,8
85,322548262,1009,656512,8928,3
86,322548245,944,656592,8930,17
87,322548239,878,656660,8934,6
88,322548229,820,656727,8935,10
89,322548222,758,656794,8937,7
90,322548217,699,656858,8937,5
91,322548210,649,656913,8939,7
92,322548204,600,656967,8940,6
93,322548201,539,657029,8942,3
94,322548196,495,657076,8944,5
95,322548195,454,657117,8945,1
96,322548193,428,657144,8946,2
97,322548191,396,657175,8949,2
98,322548187,370,657205,8949,4
99,322548180,350,657231,8950,7
100,322548174,334,657253,8950,6
101,322548172,304,657284,8951,2
102,322548170,288,657302,8951,2
103,322548163,266,657330,8952,7
104,322548162,247,657349,8953,1
105,322548161,228,657368,8954,1
106,322548159,212,657386,8954,2
107,322548157,202,657398,8954,2
108,322548156,183,657418,8954,1
109,322548154,170,657433,8954,2
110,322548152,162,657442,8955,2
111,322548151,154,657451,8955,1
112,322548150,146,657460,8955,1
113,322548150,136,657470,8955,0
114,322548150,120,657486,8955,0
115,322548145,114,657497,8955,5
116,322548145,108,657503,8955,0
117,322548145,100,657511,8955,0
118,322548145,89,657522,8955,0
119,322548134,95,657527,8955,11
120,322548123,98,657535,8955,11
121,322548114,98,657544,8955,9
122,322548107,99,657550,8955,7
123,322548098,105,657553,8955,9
124,322548085,112,657559,8955,13
125,322548073,121,657562,8955,12
126,322548053,139,657564,8955,20
127,322548036,154,657566,8955,17
128,322548017,170,657569,8955,19
129,322548001,181,657574,8955,16
130,322547982,196,657578,8955,19
131,322547959,217,657580,8955,23
132,322547928,247,657581,8955,31
133,322547895,278,657583,8955,33
134,322547859,298,657597,8957,36
135,322547819,323,657612,8957,40
136,322547781,351,657622,8957,38
137,322547746,378,657628,8959,35
138,322547690,424,657638,8959,56
139,322547629,470,657652,8960,61
140,322547568,519,657664,8960,61
141,322547508,559,657684,8960,60
142,322547425,625,657700,8961,83
143,322547349,681,657720,8961,76
144,322547264,749,657735,8963,85
145,322547188,805,657755,8963,76
146,322547088,882,657778,8963,100
147,322546984,954,657809,8964,104
148,322546839,1065,657843,8964,145
149,322546726,1142,657878,8965,113
150,322546612,1215,657917,8967,114
151,322546450,1339,657955,8967,162
152,322546297,1457,657987,8970,153
153,322546131,1566,658043,8971,166
154,322545947,1689,658100,8975,184
155,322545736,1838,658162,8975,211
156,322545517,1997,658221,8976,219
157,322545287,2144,658304,8976,230
158,322545017,2337,658377,8980,270
159,322544754,2513,658461,8983,263
160,322544449,2742,658534,8986,305
161,322544132,2958,658631,8990,317
162,322543785,3201,658732,8993,347
163,322543399,3442,658872,8998,386
164,322542937,3791,658985,8998,462
165,322542470,4144,659094,9003,467
166,322541964,4488,659251,9008,506
167,322541453,4846,659403,9009,511
168,322540917,5216,659568,9010,536
169,322540273,5675,659747,9016,644
170,322539557,6179,659955,9020,716
171,322538827,6690,660170,9024,730
172,322538047,7240,660397,9027,780
173,322537175,7842,660660,9034,872
174,322536244,8510,660920,9037,931
175,322535234,9215,661217,9045,1010
176,322534153,9979,661530,9049,1081
177,322532930,10855,661870,9056,1223
178,322531625,11774,662245,9067,1305
179,322530212,12725,662695,9079,1413
180,322528668,13802,663156,9085,1544
181,322527044,14920,663656,9091,1624
182,322525327,16126,664152,9106,1717
183,322523383,17534,664681,9113,1944
184,322521294,18979,665316,9122,2089
185,322519075,20482,666018,9136,2219
186,322516599,22228,666734,9150,2476
187,322513919,24128,667496,9168,2680
188,322511066,26109,668354,9182,2853
189,322507967,28277,669263,9204,3099
190,322504577,30657,670253,9224,3390
191,322500949,33204,671312,9246,3628
192,322497050,35880,672516,9265,3899
193,322492736,38889,673798,9288,4314
194,322487980,42232,675191,9308,4756
195,322482964,45704,676713,9330,5016
196,322477314,49730,678300,9367,5650
197,322471282,54045,679979,9405,6032
198,322464746,58637,681873,9455,6536
199,322457651,63643,683920,9497,7095
200,322449939,69136,686095,9541,7712
201,322441683,74916,688524,9588,8256
202,322432703,81216,691163,9629,8980
203,322423106,87960,693950,9695,9597
204,322412803,95164,696991,9753,10303
205,322401231,103346,700324,9810,11572
206,322388996,111953,703878,9884,12235
207,322375594,121456,707691,9970,13402
208,322361052,131684,711940,10035,14542
209,322345387,142593,716617,10114,15665
210,322328394,154570,721542,10205,16993
211,322309645,167669,727078,10319,18749
212,322289651,181631,732968,10461,19994
213,322268030,196716,739393,10572,21621
214,322244322,213329,746370,10690,23708
215,322218938,231001,753921,10851,25384
216,322191404,250279,761999,11029,27534
217,322161221,271482,770776,11232,30183
218,322128616,294490,780180,11425,32605
219,322093217,319586,790296,11612,35399
220,322055506,345725,801626,11854,37711
221,322013988,375008,813606,12109,41518
222,321968661,406933,826765,12352,45327
223,321920022,441030,840986,12673,48639
224,321867003,478384,856328,12996,53019
225,321815848,512546,872984,13333,51155
226,321754390,555255,891352,13714,61458
227,321687655,601996,910968,14092,66735
228,321615668,652362,932166,14515,71987
229,321537521,706801,955393,14996,78147
230,321452523,766415,980252,15521,84998
231,321360423,830981,1007257,16050,92100
232,321261177,900044,1036828,16662,99246
233,321153329,975287,1068805,17290,107848
234,321036528,1056689,1103483,18011,116801
235,320909453,1146053,1140380,18825,127075
236,320772564,1241424,1180993,19730,136889
237,320624429,1344232,1225408,20642,148135
238,320462634,1457388,1273080,21609,161795
239,320289096,1577907,1325021,22687,173538
240,320099701,1716147,1375139,23724,189395
241,319895566,1858824,1435335,24986,204135
242,319674366,2013289,1500746,26310,221200
243,319435360,2180308,1571301,27742,239006
244,319175793,2361728,1647844,29346,259567
