Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 282281468, 392607, 214711, 0, 0
2, 282190715, 455495, 242436, 140, 90753
3, 282083159, 537034, 268318, 275, 107556
4, 281955671, 640554, 292165, 396, 127488
5, 281801492, 772339, 314468, 487, 154179
6, 281614164, 939060, 334971, 591, 187328
7, 281385405, 1148612, 354087, 682, 228759
8, 281104680, 1411082, 372252, 772, 280725
9, 280758111, 1740834, 388975, 866, 346569
10, 280330533, 2152906, 404397, 950, 427578
11, 279802032, 2666678, 419057, 1019, 528501
12, 279146837, 3308462, 432394, 1093, 655195
13, 278334617, 4108144, 444875, 1150, 812220
14, 277363216, 5067930, 456429, 1211, 971401
15, 276149495, 6271083, 466873, 1335, 1213721
16, 274626819, 7783752, 476777, 1438, 1522676
17, 272923179, 9387338, 575825, 2444, 1703640
18, 270742823, 11451599, 690746, 3618, 2180356
19, 268316609, 13742503, 824671, 5003, 2426214
20, 265890977, 16006656, 984486, 6667, 2425632
21, 262198615, 19504749, 1176768, 8654, 3692362
22, 257815520, 23652672, 1409541, 11053, 4383095
23, 253101381, 28080268, 1693307, 13830, 4714139
24, 247791408, 33038172, 2041768, 17438, 5309973
25, 241662605, 38734319, 2470134, 21728, 6128803
26, 235206311, 44657427, 2998078, 26970, 6456294
27, 230390185, 48813964, 3650967, 33670, 4816126
28, 224099093, 54288668, 4459235, 41790, 6291092
29, 219880478, 57531976, 5424779, 51553, 4218615
30, 212065173, 64130040, 6629888, 63685, 7815305
31, 206688673, 67980658, 8140324, 79131, 5376500
32, 203771871, 69190807, 9829911, 96197, 2916802
33, 200163828, 70615579, 11991156, 118223, 3608043
34, 195200204, 73150411, 14395430, 142741, 4963624
35, 189190609, 76732007, 16798867, 167303, 6009595
36, 187100289, 75127633, 20456359, 204505, 2090320
37, 181318579, 76524196, 24797459, 248552, 5781710
38, 176967630, 76159055, 29466041, 296060, 4350949
39, 174509694, 73305264, 34724246, 349582, 2457936
40, 172563122, 69121353, 40793489, 410822, 1946572
41, 170178214, 65048392, 47186498, 475682, 2384908
42, 167343134, 63065843, 51955598, 524211, 2835080
43, 162525830, 61590632, 58184676, 587648, 4817304
44, 159887890, 60008735, 62362498, 629663, 2637940
45, 157188148, 54891945, 70101068, 707625, 2699742
46, 155943637, 50758925, 75424737, 761487, 1244511
47, 155322538, 48462227, 78312988, 791033, 621099
48, 153132855, 47042927, 81885554, 827450, 2189683
49, 151966196, 43245106, 86800034, 877450, 1166659
50, 149192381, 40008527, 92750196, 937682, 2773815
51, 148370299, 38739558, 94820217, 958712, 822082
52, 146283636, 35043839, 100544661, 1016650, 2086663
53, 145725371, 31250502, 104852553, 1060360, 558265
54, 144727122, 29790230, 107286270, 1085164, 998249
55, 144253101, 28317147, 109213819, 1104719, 474021
56, 143923891, 26260961, 111575354, 1128580, 329210
57, 143506859, 23842432, 114382251, 1157244, 417032
58, 142810513, 19721055, 119151437, 1205781, 696346
59, 142050059, 17843123, 121763236, 1232368, 760454
60, 141590975, 15602059, 124436407, 1259345, 459084
61, 140887022, 15061158, 125668914, 1271692, 703953
62, 140263125, 15063629, 126284098, 1277934, 623897
63, 139951703, 13185082, 128452088, 1299913, 311422
64, 139575377, 12394447, 129607322, 1311640, 376326
