Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 4217737, 897, 736, 0, 0
2, 4217699, 886, 784, 1, 38
3, 4217672, 835, 861, 2, 27
4, 4217635, 806, 927, 2, 37
5, 4217608, 787, 972, 3, 27
6, 4217584, 759, 1023, 4, 24
7, 4217556, 749, 1061, 4, 28
8, 4217530, 725, 1111, 4, 26
9, 4217503, 716, 1145, 6, 27
10, 4217474, 705, 1185, 6, 29
11, 4217436, 713, 1214, 7, 38
12, 4217407, 719, 1236, 8, 29
13, 4217380, 720, 1262, 8, 27
14, 4217357, 716, 1289, 8, 23
15, 4217336, 715, 1311, 8, 21
16, 4217305, 724, 1333, 8, 31
17, 4217285, 686, 1391, 8, 20
18, 4217269, 654, 1439, 8, 16
19, 4217250, 620, 1490, 10, 19
20, 4217229, 593, 1537, 11, 21
21, 4217206, 584, 1569, 11, 23
22, 4217191, 558, 1608, 13, 15
23, 4217178, 531, 1648, 13, 13
24, 4217157, 513, 1686, 14, 21
25, 4217142, 492, 1722, 14, 15
26, 4217123, 460, 1772, 15, 19
27, 4217113, 433, 1809, 15, 10
28, 4217095, 418, 1841, 16, 18
29, 4217081, 400, 1872, 17, 14
30, 4217069, 380, 1904, 17, 12
31, 4217052, 355, 1944, 19, 17
32, 4217039, 335, 1977, 19, 13
33, 4217027, 328, 1996, 19, 12
34, 4217016, 317, 2017, 20, 11
35, 4217001, 302, 2047, 20, 15
36, 4216990, 284, 2075, 21, 11
37, 4216983, 271, 2095, 21, 7
38, 4216974, 265, 2110, 21, 9
39, 4216968, 248, 2133, 21, 6
40, 4216962, 236, 2149, 23, 6
41, 4216951, 223, 2173, 23, 11
42, 4216945, 215, 2187, 23, 6
43, 4216938, 197, 2212, 23, 7
44, 4216931, 186, 2230, 23, 7
45, 4216924, 178, 2245, 23, 7
46, 4216918, 163, 2266, 23, 6
47, 4216914, 150, 2283, 23, 4
48, 4216908, 140, 2298, 24, 6
49, 4216905, 131, 2310, 24, 3
50, 4216899, 120, 2327, 24, 6
51, 4216893, 113, 2340, 24, 6
52, 4216889, 110, 2347, 24, 4
53, 4216887, 101, 2358, 24, 2
54, 4216884, 95, 2367, 24, 3
55, 4216879, 94, 2373, 24, 5
56, 4216876, 86, 2384, 24, 3
57, 4216872, 84, 2389, 25, 4
58, 4216868, 78, 2399, 25, 4
59, 4216866, 72, 2407, 25, 2
60, 4216866, 65, 2414, 25, 0
61, 4216863, 62, 2420, 25, 3
62, 4216863, 56, 2426, 25, 0
63, 4216862, 51, 2432, 25, 1
64, 4216861, 48, 2436, 25, 1
65, 4216860, 43, 2442, 25, 1
66, 4216859, 38, 2447, 26, 1
67, 4216858, 35, 2450, 27, 1
68, 4216857, 34, 2452, 27, 1
69, 4216854, 34, 2455, 27, 3
70, 4216852, 31, 2460, 27, 2
71, 4216851, 29, 2463, 27, 1
72, 4216850, 26, 2467, 27, 1
73, 4216850, 22, 2471, 27, 0
74, 4216849, 21, 2473, 27, 1
75, 4216847, 23, 2473, 27, 2
76, 4216845, 22, 2476, 27, 2
77, 4216844, 22, 2477, 27, 1
78, 4216843, 22, 2478, 27, 1
79, 4216842, 22, 2479, 27, 1
80, 4216842, 21, 2479, 28, 0
81, 4216841, 21, 2480, 28, 1
82, 4216840, 21, 2481, 28, 1
83, 4216839, 21, 2482, 28, 1
84, 4216838, 18, 2486, 28, 1
85, 4216838, 16, 2488, 28, 0
86, 4216837, 16, 2489, 28, 1
87, 4216836, 16, 2490, 28, 1
88, 4216836, 15, 2491, 28, 0
89, 4216836, 14, 2492, 28, 0
90, 4216833, 15, 2494, 28, 3
91, 4216832, 14, 2496, 28, 1
92, 4216830, 15, 2497, 28, 2
93, 4216829, 15, 2498, 28, 1
94, 4216829, 14, 2499, 28, 0
95, 4216829, 14, 2499, 28, 0
96, 4216827, 15, 2500, 28, 2
97, 4216826, 15, 2501, 28, 1
98, 4216826, 14, 2502, 28, 0
99, 4216826, 13, 2503, 28, 0
100, 4216826, 13, 2503, 28, 0
101, 4216826, 12, 2504, 28, 0
102, 4216826, 11, 2505, 28, 0
103, 4216826, 11, 2505, 28, 0
104, 4216826, 11, 2505, 28, 0
105, 4216826, 8, 2508, 28, 0
106, 4216825, 8, 2509, 28, 1
107, 4216825, 6, 2511, 28, 0
108, 4216825, 5, 2512, 28, 0
109, 4216825, 5, 2512, 28, 0
110, 4216825, 5, 2512, 28, 0
111, 4216825, 3, 2514, 28, 0
112, 4216825, 2, 2514, 29, 0
113, 4216825, 2, 2514, 29, 0
114, 4216825, 2, 2514, 29, 0
115, 4216825, 2, 2514, 29, 0
116, 4216825, 2, 2514, 29, 0
117, 4216824, 3, 2514, 29, 1
118, 4216823, 4, 2514, 29, 1
119, 4216823, 4, 2514, 29, 0
120, 4216823, 4, 2514, 29, 0
121, 4216823, 3, 2515, 29, 0
122, 4216823, 3, 2515, 29, 0
123, 4216823, 3, 2515, 29, 0
124, 4216823, 3, 2515, 29, 0
125, 4216823, 3, 2515, 29, 0
126, 4216823, 2, 2516, 29, 0
127, 4216823, 2, 2516, 29, 0
128, 4216823, 2, 2516, 29, 0
129, 4216823, 2, 2516, 29, 0
130, 4216823, 2, 2516, 29, 0
131, 4216823, 2, 2516, 29, 0
132, 4216823, 1, 2517, 29, 0
133, 4216823, 0, 2518, 29, 0
