Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 4217737, 897, 736, 0, 0
2, 4217680, 898, 791, 1, 57
3, 4217627, 890, 851, 2, 53
4, 4217554, 909, 905, 2, 73
5, 4217483, 926, 959, 2, 71
6, 4217429, 941, 997, 3, 54
7, 4217368, 951, 1046, 5, 61
8, 4217295, 986, 1084, 5, 73
9, 4217240, 999, 1123, 8, 55
10, 4217186, 1016, 1160, 8, 54
11, 4217125, 1047, 1190, 8, 61
12, 4217055, 1090, 1217, 8, 70
13, 4216983, 1133, 1243, 11, 72
14, 4216911, 1177, 1271, 11, 72
15, 4216822, 1247, 1289, 12, 89
16, 4216727, 1314, 1317, 12, 95
17, 4216640, 1321, 1395, 14, 87
18, 4216550, 1344, 1460, 16, 90
19, 4216462, 1343, 1545, 20, 88
20, 4216386, 1330, 1633, 21, 76
21, 4216285, 1364, 1697, 24, 101
22, 4216201, 1377, 1766, 26, 84
23, 4216110, 1377, 1856, 27, 91
24, 4216018, 1396, 1928, 28, 92
25, 4215941, 1407, 1994, 28, 77
26, 4215839, 1438, 2065, 28, 102
27, 4215738, 1457, 2147, 28, 101
28, 4215635, 1478, 2226, 31, 103
29, 4215534, 1494, 2309, 33, 101
30, 4215447, 1486, 2402, 35, 87
31, 4215358, 1470, 2506, 36, 89
32, 4215260, 1469, 2603, 38, 98
33, 4215155, 1477, 2699, 39, 105
34, 4215042, 1495, 2790, 43, 113
35, 4214924, 1532, 2869, 45, 118
36, 4214809, 1543, 2970, 48, 115
37, 4214706, 1559, 3056, 49, 103
38, 4214590, 1582, 3147, 51, 116
39, 4214468, 1606, 3242, 54, 122
40, 4214359, 1634, 3323, 54, 109
41, 4214272, 1615, 3428, 55, 87
42, 4214168, 1616, 3530, 56, 104
43, 4214074, 1606, 3632, 58, 94
44, 4213971, 1605, 3732, 62, 103
45, 4213857, 1630, 3821, 62, 114
46, 4213766, 1627, 3913, 64, 91
47, 4213644, 1647, 4011, 68, 122
48, 4213535, 1651, 4111, 73, 109
49, 4213412, 1660, 4223, 75, 123
50, 4213306, 1647, 4340, 77, 106
51, 4213204, 1632, 4454, 80, 102
52, 4213106, 1625, 4559, 80, 98
53, 4212999, 1614, 4676, 81, 107
54, 4212904, 1583, 4799, 84, 95
55, 4212811, 1567, 4907, 85, 93
56, 4212720, 1569, 4994, 87, 91
57, 4212606, 1579, 5093, 92, 114
58, 4212491, 1600, 5186, 93, 115
59, 4212394, 1592, 5290, 94, 97
60, 4212287, 1584, 5404, 95, 107
61, 4212178, 1602, 5495, 95, 109
62, 4212089, 1569, 5613, 99, 89
63, 4211973, 1575, 5719, 103, 116
64, 4211872, 1549, 5842, 107, 101
65, 4211770, 1544, 5945, 111, 102
66, 4211679, 1533, 6045, 113, 91
67, 4211579, 1535, 6143, 113, 100
68, 4211483, 1524, 6248, 115, 96
69, 4211386, 1525, 6340, 119, 97
70, 4211270, 1548, 6428, 124, 116
71, 4211162, 1565, 6517, 126, 108
72, 4211047, 1564, 6631, 128, 115
73, 4210955, 1541, 6745, 129, 92
74, 4210852, 1547, 6841, 130, 103
75, 4210740, 1552, 6948, 130, 112
76, 4210629, 1553, 7057, 131, 111
77, 4210532, 1561, 7145, 132, 97
78, 4210437, 1540, 7260, 133, 95
79, 4210308, 1568, 7357, 137, 129
80, 4210208, 1566, 7457, 139, 100
81, 4210109, 1574, 7546, 141, 99
82, 4210012, 1571, 7643, 144, 97
83, 4209924, 1563, 7738, 145, 88
84, 4209827, 1563, 7835, 145, 97
85, 4209704, 1570, 7948, 148, 123
86, 4209604, 1562, 8055, 149, 100
87, 4209501, 1550, 8168, 151, 103
88, 4209404, 1555, 8259, 152, 97
89, 4209292, 1564, 8359, 155, 112
90, 4209201, 1542, 8467, 160, 91
91, 4209099, 1533, 8577, 161, 102
92, 4208998, 1537, 8671, 164, 101
93, 4208890, 1549, 8765, 166, 108
94, 4208796, 1514, 8893, 167, 94
95, 4208697, 1513, 8991, 169, 99
96, 4208587, 1524, 9086, 173, 110
97, 4208503, 1511, 9181, 175, 84
98, 4208388, 1538, 9267, 177, 115
99, 4208288, 1541, 9361, 180, 100
100, 4208188, 1518, 9481, 183, 100
101, 4208098, 1507, 9581, 184, 90
102, 4207997, 1505, 9683, 185, 101
103, 4207898, 1507, 9778, 187, 99
104, 4207818, 1475, 9890, 187, 80
105, 4207707, 1495, 9978, 190, 111
106, 4207602, 1498, 10077, 193, 105
107, 4207507, 1492, 10177, 194, 95
108, 4207408, 1483, 10284, 195, 99
109, 4207284, 1513, 10375, 198, 124
110, 4207190, 1508, 10471, 201, 94
111, 4207092, 1495, 10582, 201, 98
112, 4206987, 1516, 10663, 204, 105
113, 4206888, 1500, 10776, 206, 99
114, 4206807, 1481, 10876, 206, 81
115, 4206706, 1482, 10973, 209, 101
116, 4206612, 1486, 11062, 210, 94
117, 4206529, 1468, 11160, 213, 83
118, 4206441, 1457, 11255, 217, 88
119, 4206356, 1462, 11333, 219, 85
120, 4206251, 1456, 11443, 220, 105
121, 4206170, 1432, 11545, 223, 81
122, 4206068, 1439, 11639, 224, 102
123, 4205970, 1438, 11735, 227, 98
124, 4205875, 1409, 11856, 230, 95
125, 4205795, 1395, 11949, 231, 80
126, 4205711, 1381, 12046, 232, 84
127, 4205625, 1362, 12148, 235, 86
128, 4205531, 1357, 12243, 239, 94
129, 4205459, 1348, 12324, 239, 72
130, 4205365, 1341, 12424, 240, 94
131, 4205288, 1324, 12517, 241, 77
132, 4205196, 1333, 12597, 244, 92
133, 4205113, 1328, 12682, 247, 83
134, 4205030, 1326, 12765, 249, 83
135, 4204945, 1306, 12867, 252, 85
136, 4204864, 1306, 12946, 254, 81
137, 4204785, 1283, 13044, 258, 79
138, 4204709, 1261, 13137, 263, 76
139, 4204623, 1252, 13229, 266, 86
140, 4204546, 1249, 13308, 267, 77
141, 4204456, 1255, 13392, 267, 90
142, 4204362, 1263, 13477, 268, 94
143, 4204287, 1244, 13567, 272, 75
144, 4204210, 1249, 13639, 272, 77
145, 4204135, 1230, 13731, 274, 75
146, 4204061, 1227, 13804, 278, 74
147, 4203986, 1210, 13894, 280, 75
148, 4203911, 1202, 13977, 280, 75
149, 4203833, 1197, 14054, 286, 78
150, 4203746, 1199, 14139, 286, 87
151, 4203683, 1181, 14219, 287, 63
152, 4203597, 1188, 14296, 289, 86
153, 4203516, 1193, 14368, 293, 81
154, 4203451, 1172, 14450, 297, 65
155, 4203371, 1175, 14526, 298, 80
156, 4203306, 1150, 14615, 299, 65
157, 4203238, 1124, 14705, 303, 68
158, 4203179, 1108, 14777, 306, 59
159, 4203119, 1091, 14853, 307, 60
160, 4203042, 1093, 14927, 308, 77
161, 4202968, 1093, 15000, 309, 74
162, 4202897, 1089, 15072, 312, 71
163, 4202826, 1085, 15146, 313, 71
164, 4202752, 1081, 15223, 314, 74
165, 4202683, 1063, 15308, 316, 69
166, 4202622, 1061, 15368, 319, 61
167, 4202559, 1038, 15452, 321, 63
168, 4202491, 1025, 15532, 322, 68
169, 4202424, 1027, 15593, 326, 67
170, 4202350, 1021, 15672, 327, 74
171, 4202288, 1018, 15735, 329, 62
172, 4202209, 1029, 15802, 330, 79
173, 4202143, 1036, 15859, 332, 66
174, 4202072, 1047, 15918, 333, 71
175, 4201999, 1043, 15995, 333, 73
176, 4201912, 1056, 16067, 335, 87
177, 4201832, 1065, 16138, 335, 80
178, 4201763, 1063, 16209, 335, 69
179, 4201691, 1061, 16283, 335, 72
180, 4201627, 1056, 16351, 336, 64
181, 4201557, 1065, 16411, 337, 70
182, 4201492, 1067, 16470, 341, 65
183, 4201418, 1073, 16538, 341, 74
184, 4201337, 1087, 16604, 342, 81
185, 4201265, 1085, 16677, 343, 72
186, 4201201, 1087, 16736, 346, 64
187, 4201124, 1085, 16814, 347, 77
188, 4201047, 1096, 16878, 349, 77
189, 4200958, 1114, 16948, 350, 89
190, 4200887, 1112, 17019, 352, 71
191, 4200818, 1094, 17104, 354, 69
192, 4200739, 1093, 17183, 355, 79
193, 4200669, 1094, 17251, 356, 70
194, 4200606, 1085, 17321, 358, 63
195, 4200533, 1094, 17384, 359, 73
196, 4200457, 1100, 17453, 360, 76
197, 4200380, 1112, 17516, 362, 77
198, 4200312, 1106, 17590, 362, 68
199, 4200233, 1104, 17669, 364, 79
200, 4200162, 1103, 17740, 365, 71
201, 4200081, 1120, 17804, 365, 81
202, 4200014, 1110, 17881, 365, 67
203, 4199943, 1104, 17956, 367, 71
204, 4199879, 1079, 18042, 370, 64
205, 4199813, 1074, 18109, 374, 66
206, 4199735, 1083, 18176, 376, 78
207, 4199657, 1082, 18251, 380, 78
208, 4199579, 1090, 18320, 381, 78
209, 4199518, 1088, 18379, 385, 61
210, 4199439, 1094, 18449, 388, 79
211, 4199376, 1081, 18522, 391, 63
212, 4199311, 1069, 18598, 392, 65
213, 4199244, 1068, 18665, 393, 67
214, 4199174, 1059, 18744, 393, 70
215, 4199104, 1058, 18814, 394, 70
216, 4199046, 1035, 18893, 396, 58
217, 4198973, 1041, 18957, 399, 73
218, 4198910, 1033, 19026, 401, 63
219, 4198857, 1022, 19089, 402, 53
220, 4198794, 1019, 19155, 402, 63
