Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 4217737, 897, 736, 0, 0
2, 4217637, 937, 795, 1, 100
3, 4217538, 988, 840, 4, 99
4, 4217441, 1048, 877, 4, 97
5, 4217323, 1123, 919, 5, 118
6, 4217201, 1194, 970, 5, 122
7, 4217073, 1276, 1014, 7, 128
8, 4216947, 1353, 1063, 7, 126
9, 4216798, 1459, 1105, 8, 149
10, 4216648, 1567, 1145, 10, 150
11, 4216450, 1725, 1184, 11, 198
12, 4216267, 1879, 1213, 11, 183
13, 4216053, 2071, 1234, 12, 214
14, 4215837, 2254, 1266, 13, 216
15, 4215591, 2471, 1294, 14, 246
16, 4215319, 2712, 1324, 15, 272
17, 4215019, 2884, 1449, 18, 300
18, 4214723, 3059, 1566, 22, 296
19, 4214429, 3244, 1675, 22, 294
20, 4214079, 3463, 1806, 22, 350
21, 4213721, 3683, 1942, 24, 358
22, 4213332, 3930, 2084, 24, 389
23, 4212888, 4240, 2217, 25, 444
24, 4212464, 4497, 2377, 32, 424
25, 4211961, 4843, 2529, 37, 503
26, 4211480, 5110, 2739, 41, 481
27, 4210890, 5504, 2933, 43, 590
28, 4210280, 5889, 3156, 45, 610
29, 4209634, 6312, 3371, 53, 646
30, 4209003, 6691, 3618, 58, 631
31, 4208251, 7167, 3891, 61, 752
32, 4207528, 7581, 4196, 65, 723
33, 4206713, 8096, 4491, 70, 815
34, 4205873, 8634, 4784, 79, 840
35, 4204988, 9165, 5132, 85, 885
36, 4204036, 9752, 5494, 88, 952
37, 4203013, 10381, 5885, 91, 1023
38, 4201862, 11083, 6327, 98, 1151
39, 4200701, 11815, 6752, 102, 1161
40, 4199472, 12536, 7247, 115, 1229
41, 4198096, 13428, 7720, 126, 1376
42, 4196646, 14286, 8302, 136, 1450
43, 4195205, 15115, 8900, 150, 1441
44, 4193647, 16024, 9534, 165, 1558
45, 4191934, 17100, 10157, 179, 1713
46, 4190235, 18045, 10896, 194, 1699
47, 4188372, 19184, 11605, 209, 1863
48, 4186374, 20366, 12410, 220, 1998
49, 4184246, 21654, 13236, 234, 2128
50, 4181929, 23084, 14106, 251, 2317
51, 4179530, 24528, 15045, 267, 2399
52, 4176978, 26057, 16052, 283, 2552
53, 4174185, 27696, 17177, 312, 2793
54, 4171255, 29465, 18315, 335, 2930
55, 4168181, 31306, 19530, 353, 3074
56, 4164938, 33173, 20884, 375, 3243
57, 4161530, 35130, 22305, 405, 3408
58, 4157839, 37380, 23721, 430, 3691
59, 4153993, 39665, 25258, 454, 3846
60, 4149816, 42129, 26930, 495, 4177
61, 4145385, 44860, 28587, 538, 4431
62, 4140600, 47782, 30407, 581, 4785
63, 4135728, 50656, 32365, 621, 4872
64, 4130571, 53685, 34440, 674, 5157
65, 4125024, 56914, 36720, 712, 5547
66, 4119145, 60392, 39075, 758, 5879
67, 4113007, 63977, 41584, 802, 6138
68, 4106493, 67698, 44316, 863, 6514
69, 4099436, 71824, 47187, 923, 7057
70, 4092392, 75794, 50191, 993, 7044
71, 4084613, 80330, 53359, 1068, 7779
72, 4076469, 85066, 56694, 1141, 8144
73, 4067908, 89936, 60303, 1223, 8561
74, 4058827, 95171, 64097, 1275, 9081
75, 4049136, 100685, 68185, 1364, 9691
76, 4039016, 106374, 72522, 1458, 10120
77, 4028337, 112268, 77208, 1557, 10679
78, 4017199, 118533, 81983, 1655, 11138
79, 4005229, 125346, 87028, 1767, 11970
80, 3992786, 132242, 92463, 1879, 12443
81, 3979599, 139549, 98223, 1999, 13187
82, 3965661, 147349, 104249, 2111, 13938
83, 3951275, 155221, 110628, 2246, 14386
84, 3935886, 163553, 117562, 2369, 15389
85, 3919736, 172659, 124455, 2520, 16150
86, 3903147, 181469, 132061, 2693, 16589
87, 3885492, 190980, 140033, 2865, 17655
88, 3867142, 200769, 148421, 3038, 18350
89, 3847938, 210892, 157321, 3219, 19204
90, 3827909, 221229, 166483, 3749, 20029
