Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 4217737, 897, 736, 0, 0
2, 4217682, 891, 796, 1, 55
3, 4217615, 903, 851, 1, 67
4, 4217544, 920, 901, 5, 71
5, 4217493, 931, 941, 5, 51
6, 4217434, 937, 994, 5, 59
7, 4217381, 942, 1039, 8, 53
8, 4217326, 956, 1079, 9, 55
9, 4217260, 984, 1116, 10, 66
10, 4217196, 1015, 1147, 12, 64
11, 4217132, 1054, 1172, 12, 64
12, 4217072, 1076, 1210, 12, 60
13, 4216997, 1121, 1239, 13, 75
14, 4216918, 1158, 1280, 14, 79
15, 4216837, 1220, 1299, 14, 81
16, 4216752, 1277, 1327, 14, 85
17, 4216664, 1285, 1406, 15, 88
18, 4216579, 1282, 1494, 15, 85
19, 4216503, 1264, 1587, 16, 76
20, 4216419, 1277, 1656, 18, 84
21, 4216326, 1288, 1737, 19, 93
22, 4216245, 1306, 1799, 20, 81
23, 4216172, 1314, 1863, 21, 73
24, 4216086, 1318, 1944, 22, 86
25, 4215999, 1333, 2016, 22, 87
26, 4215904, 1352, 2091, 23, 95
27, 4215815, 1373, 2159, 23, 89
28, 4215732, 1373, 2241, 24, 83
29, 4215641, 1380, 2321, 28, 91
30, 4215559, 1370, 2413, 28, 82
31, 4215478, 1362, 2502, 28, 81
32, 4215385, 1363, 2593, 29, 93
33, 4215270, 1391, 2680, 29, 115
34, 4215174, 1403, 2762, 31, 96
35, 4215090, 1397, 2851, 32, 84
36, 4214982, 1402, 2951, 35, 108
37, 4214879, 1417, 3034, 40, 103
38, 4214800, 1419, 3109, 42, 79
39, 4214694, 1435, 3198, 43, 106
40, 4214588, 1453, 3286, 43, 106
41, 4214501, 1441, 3382, 46, 87
42, 4214356, 1493, 3474, 47, 145
43, 4214191, 1571, 3559, 49, 165
44, 4214023, 1647, 3649, 51, 168
45, 4213862, 1722, 3735, 51, 161
46, 4213687, 1816, 3813, 54, 175
47, 4213502, 1906, 3907, 55, 185
48, 4213307, 1984, 4023, 56, 195
49, 4213095, 2099, 4120, 56, 212
50, 4212875, 2233, 4203, 59, 220
51, 4212634, 2366, 4308, 62, 241
52, 4212405, 2489, 4414, 62, 229
53, 4212139, 2674, 4495, 62, 266
54, 4211850, 2855, 4603, 62, 289
55, 4211534, 3065, 4708, 63, 316
56, 4211219, 3292, 4793, 66, 315
57, 4210839, 3525, 4933, 73, 380
58, 4210452, 3746, 5095, 77, 387
59, 4210046, 3983, 5261, 80, 406
60, 4209648, 4220, 5418, 84, 398
61, 4209208, 4485, 5588, 89, 440
62, 4208688, 4820, 5768, 94, 520
63, 4208184, 5128, 5962, 96, 504
64, 4207646, 5454, 6168, 102, 538
65, 4207067, 5812, 6383, 108, 579
66, 4206451, 6187, 6620, 112, 616
67, 4205786, 6623, 6848, 113, 665
68, 4205086, 7057, 7112, 115, 700
69, 4204315, 7538, 7398, 119, 771
70, 4203508, 8029, 7707, 126, 807
71, 4202670, 8551, 8017, 132, 838
72, 4201776, 9065, 8391, 138, 894
73, 4200855, 9599, 8775, 141, 921
74, 4199813, 10235, 9172, 150, 1042
75, 4198786, 10864, 9563, 157, 1027
76, 4197712, 11498, 9998, 162, 1074
77, 4196501, 12189, 10511, 169, 1211
78, 4195216, 12970, 11002, 182, 1285
79, 4193790, 13858, 11526, 196, 1426
80, 4192318, 14751, 12091, 210, 1472
81, 4190756, 15697, 12698, 219, 1562
82, 4189079, 16707, 13349, 235, 1677
83, 4187298, 17788, 14036, 248, 1781
84, 4185381, 18934, 14793, 262, 1917
85, 4183410, 20098, 15581, 281, 1971
86, 4181364, 21306, 16394, 306, 2046
