Day, Susceptible, Infected, Recovered, Dead, New Cases
1,4217737,897,736,0,0
2,4217728,840,801,1,9
3,4217720,798,849,3,8
4,4217713,751,902,4,7
5,4217709,710,947,4,4
6,4217703,666,996,5,6
7,4217696,633,1036,5,7
8,4217687,600,1077,6,9
9,4217678,570,1116,6,9
10,4217667,556,1141,6,11
11,4217664,533,1167,6,3
12,4217660,514,1190,6,4
13,4217655,482,1225,8,5
14,4217653,460,1249,8,2
15,4217648,427,1286,9,5
16,4217646,406,1308,10,2
17,4217643,376,1341,10,3
18,4217636,353,1370,11,7
19,4217635,329,1394,12,1
20,4217633,306,1418,13,2
21,4217631,285,1440,14,2
22,4217629,262,1465,14,2
23,4217627,241,1488,14,2
24,4217627,220,1509,14,0
25,4217626,198,1531,15,1
26,4217623,188,1543,16,3
27,4217618,179,1557,16,5
28,4217615,165,1574,16,3
29,4217615,151,1588,16,0
30,4217615,137,1602,16,0
31,4217613,128,1612,17,2
32,4217613,119,1621,17,0
33,4217611,106,1635,18,2
34,4217609,105,1638,18,2
35,4217607,97,1648,18,2
36,4217607,85,1660,18,0
37,4217606,82,1664,18,1
38,4217605,78,1669,18,1
39,4217605,74,1673,18,0
40,4217604,72,1676,18,1
41,4217604,66,1682,18,0
42,4217604,58,1690,18,0
43,4217603,54,1695,18,1
44,4217602,55,1695,18,1
45,4217601,53,1698,18,1
46,4217600,51,1701,18,1
47,4217600,46,1706,18,0
48,4217599,42,1711,18,1
49,4217597,42,1713,18,2
50,4217596,39,1717,18,1
51,4217596,39,1717,18,0
52,4217596,37,1719,18,0
53,4217596,32,1724,18,0
54,4217595,31,1726,18,1
55,4217595,29,1728,18,0
56,4217595,28,1729,18,0
57,4217595,25,1732,18,0
58,4217595,23,1734,18,0
59,4217595,19,1738,18,0
60,4217595,18,1739,18,0
61,4217595,16,1741,18,0
62,4217595,15,1742,18,0
63,4217595,14,1743,18,0
64,4217595,11,1746,18,0
65,4217595,8,1749,18,0
66,4217595,8,1749,18,0
67,4217595,8,1749,18,0
68,4217595,7,1750,18,0
69,4217595,6,1751,18,0
70,4217595,6,1751,18,0
71,4217595,5,1752,18,0
72,4217595,5,1752,18,0
73,4217594,6,1752,18,1
74,4217593,7,1752,18,1
75,4217592,8,1752,18,1
76,4217591,9,1752,18,1
77,4217590,10,1752,18,1
78,4217588,12,1752,18,2
79,4217585,14,1753,18,3
80,4217585,14,1753,18,0
81,4217585,14,1753,18,0
82,4217580,19,1753,18,5
83,4217579,20,1753,18,1
84,4217575,24,1753,18,4
85,4217573,25,1754,18,2
86,4217571,27,1754,18,2
87,4217567,31,1754,18,4
88,4217566,31,1755,18,1
89,4217563,33,1756,18,3
90,4217562,32,1758,18,1
91,4217558,35,1759,18,4
92,4217554,37,1761,18,4
93,4217550,39,1763,18,4
94,4217546,40,1766,18,4
95,4217542,44,1766,18,4
96,4217537,49,1766,18,5
97,4217536,45,1771,18,1
98,4217531,49,1772,18,5
99,4217527,48,1777,18,4
100,4217521,52,1779,18,6
101,4217518,53,1781,18,3
102,4217514,53,1785,18,4
103,4217509,57,1786,18,5
104,4217505,58,1789,18,4
105,4217500,62,1790,18,5
106,4217493,65,1794,18,7
107,4217486,68,1797,19,7
108,4217477,73,1801,19,9
109,4217467,79,1805,19,10
110,4217459,83,1808,20,8
111,4217452,85,1813,20,7
112,4217444,92,1814,20,8
113,4217438,93,1819,20,6
114,4217433,94,1823,20,5
115,4217425,96,1829,20,8
116,4217416,102,1832,20,9
117,4217410,104,1836,20,6
118,4217392,117,1840,21,18
119,4217384,121,1844,21,8
120,4217369,131,1849,21,15
121,4217355,138,1856,21,14
122,4217339,147,1863,21,16
123,4217327,150,1871,22,12
124,4217312,155,1880,23,15
125,4217296,163,1888,23,16
126,4217271,181,1895,23,25
127,4217246,198,1902,24,25
128,4217224,214,1908,24,22
129,4217199,234,1913,24,25
130,4217178,247,1921,24,21
131,4217154,262,1929,25,24
132,4217129,281,1935,25,25
133,4217093,299,1953,25,36
134,4217059,325,1961,25,34
135,4217036,333,1976,25,23
136,4217004,351,1989,26,32
137,4216961,378,2005,26,43
138,4216922,405,2017,26,39
139,4216885,427,2031,27,37
140,4216841,455,2045,29,44
141,4216792,479,2069,30,49
142,4216741,505,2094,30,51
143,4216703,521,2115,31,38
144,4216645,554,2140,31,58
145,4216579,599,2161,31,66
146,4216517,637,2185,31,62
147,4216460,669,2210,31,57
148,4216394,699,2246,31,66
149,4216315,744,2280,31,79
150,4216225,811,2302,32,90
151,4216156,848,2334,32,69
152,4216059,902,2376,33,97
153,4215963,959,2415,33,96
154,4215871,1014,2452,33,92
155,4215755,1086,2495,34,116
156,4215642,1150,2544,34,113
157,4215532,1209,2594,35,110
158,4215411,1292,2632,35,121
159,4215273,1372,2690,35,138
160,4215132,1447,2755,36,141
161,4214987,1530,2817,36,145
162,4214822,1638,2873,37,165
163,4214658,1736,2935,41,164
164,4214482,1833,3014,41,176
165,4214307,1918,3101,44,175
166,4214094,2062,3167,47,213
167,4213870,2189,3264,47,224
168,4213662,2301,3357,50,208
169,4213415,2456,3449,50,247
170,4213175,2580,3563,52,240
171,4212917,2725,3674,54,258
172,4212617,2915,3783,55,300
173,4212296,3115,3902,57,321
174,4211979,3294,4037,60,317
175,4211595,3537,4177,61,384
176,4211224,3763,4317,66,371
177,4210849,3973,4479,69,375
178,4210430,4228,4640,72,419
179,4209998,4484,4813,75,432
180,4209491,4816,4986,77,507
181,4209010,5084,5193,83,481
182,4208478,5392,5413,87,532
183,4207900,5762,5614,94,578
184,4207300,6115,5859,96,600
185,4206633,6542,6095,100,667
186,4205959,6958,6348,105,674
187,4205232,7385,6643,110,727
188,4204452,7844,6956,118,780
189,4203617,8362,7269,122,835
190,4202708,8887,7646,129,909
191,4201771,9453,8008,138,937
192,4200791,10058,8377,144,980
193,4199747,10683,8790,150,1044
194,4198656,11342,9206,166,1091
195,4197458,12033,9703,176,1198
196,4196241,12769,10178,182,1217
197,4194901,13577,10698,194,1340
198,4193458,14442,11265,205,1443
199,4191944,15356,11854,216,1514
200,4190349,16284,12506,231,1595
201,4188703,17256,13159,252,1646
202,4186929,18303,13868,270,1774
203,4185013,19439,14625,293,1916
204,4182941,20676,15443,310,2072
205,4180765,21943,16328,334,2176
206,4178508,23263,17254,345,2257
207,4175956,24835,18218,361,2552
208,4173410,26337,19244,379,2546
209,4170653,28003,20321,393,2757
210,4167773,29685,21495,417,2880
211,4164698,31543,22689,440,3075
212,4161409,33492,23998,471,3289
213,4157855,35603,25420,492,3554
214,4154200,37744,26890,536,3655
215,4150316,40033,28458,563,3884
216,4146124,42579,30078,589,4192
217,4141693,45236,31817,624,4431
218,4137052,47961,33688,669,4641
219,4132102,50839,35724,705,4950
220,4126750,54015,37856,749,5352
221,4121263,57245,40073,789,5487
222,4115427,60529,42586,828,5836
223,4109257,64153,45094,866,6170
224,4102726,67927,47805,912,6531
225,4095771,72002,50636,961,6955
226,4088464,76234,53655,1017,7307
227,4080753,80656,56886,1075,7711
228,4072632,85223,60377,1138,8121
229,4063870,90330,63966,1204,8762
230,4054583,95733,67757,1297,9287
231,4044879,101245,71869,1377,9704
232,4034786,106907,76201,1476,10093
233,4024105,112947,80739,1579,10681
234,4012894,119208,85589,1679,11211
235,4000938,125812,90835,1785,11956
236,3988454,132809,96202,1905,12484
237,3975135,140292,101935,2008,13319
238,3961178,148079,107975,2138,13957
239,3946723,156003,114393,2251,14455
240,3931293,164478,121229,2370,15430
241,3914909,173555,128368,2538,16384
242,3898080,182673,135932,2685,16829
243,3880368,192264,143881,2857,17712
244,3861858,202012,152458,3042,18510
245,3842353,212230,161575,3212,19505
246,3822092,222787,170717,3774,20261
247,3801081,233705,180252,4332,21011
248,3781116,242989,190358,4907,19965
249,3758607,254287,200975,5501,22509
250,3734866,266072,212268,6164,23741
251,3710285,278169,224091,6825,24581
252,3684455,290680,236701,7534,25830
253,3657976,303202,249915,8277,26479
254,3630340,316383,263604,9043,27636
255,3601806,329487,278137,9940,28534
256,3572245,342664,293663,10798,29561
257,3541966,356114,309528,11762,30279
258,3510729,369639,326223,12779,31237
259,3478676,383182,343743,13769,32053
260,3445741,396612,362155,14862,32935
261,3411963,410129,381315,15963,33778
262,3377635,423446,401219,17070,34328
263,3342174,438942,420106,18148,35461
264,3306029,452578,441385,19378,36145
265,3269802,465064,463813,20691,36227
266,3232485,477800,487052,22033,37317
267,3196052,488403,511480,23435,36433
268,3157620,500356,536442,24952,38432
269,3119212,511128,562576,26454,38408
270,3080041,521765,589482,28082,39171
271,3041470,530775,617436,29689,38571
272,3002024,539942,646076,31328,39446
273,2962478,548251,675639,33002,39546
274,2922830,555846,705845,34849,39648
275,2883238,562503,736981,36648,39592
276,2843985,567978,768902,38505,39253
277,2804306,573329,801333,40402,39679
278,2767417,574757,834893,42303,36889
279,2728967,577062,869112,44229,38450
280,2690853,578949,903337,46231,38114
281,2652954,579531,938581,48304,37899
282,2615656,580396,972975,50343,37298
283,2578964,578656,1009311,52439,36692
284,2542940,576272,1045563,54595,36024
285,2507762,572279,1082568,56761,35178
286,2473020,568450,1119124,58776,34742
287,2441410,560614,1156384,60962,31610
288,2408617,553861,1193750,63142,32793
289,2376611,546219,1231213,65327,32006
290,2345948,537290,1268590,67542,30663
291,2315698,528287,1305757,69628,30250
292,2286340,517966,1343240,71824,29358
293,2257954,509463,1378072,73881,28386
294,2230380,498587,1414353,76050,27574
295,2203538,487315,1450411,78106,26842
296,2177967,474987,1486179,80237,25571
297,2153197,462459,1521398,82316,24770
298,2129552,449412,1556051,84355,23645
299,2106775,436165,1590141,86289,22777
300,2084814,422948,1623322,88286,21961
301,2068342,404678,1656096,90254,16472
302,2048176,393234,1685987,91973,20166
303,2031307,377310,1716993,93760,16869
304,2013222,363389,1747180,95579,18085
305,1995903,350045,1776161,97261,17319
306,1979599,336099,1804792,98880,16304
307,1963904,322436,1832541,100489,15695
308,1949026,308928,1859389,102027,14878
309,1935503,294877,1885461,103529,13523
310,1924708,278830,1910777,105055,10795
311,1911967,266000,1934978,106425,12741
312,1903683,249514,1958360,107813,8284
313,1892226,237326,1980705,109113,11457
314,1881559,225216,2002227,110368,10667
315,1871420,213394,2022949,111607,10139
316,1862945,205397,2038493,112535,8475
317,1853901,194275,2057547,113647,9044
318,1845504,185803,2073488,114575,8397
319,1837557,175665,2091197,114951,7947
320,1830002,165901,2108187,115280,7555
321,1822999,156600,2124131,115640,7003
322,1816302,147602,2139515,115951,6697
323,1809958,139068,2154072,116272,6344
324,1804131,131372,2167307,116560,5827
325,1799636,125072,2177893,116769,4495
326,1794402,117565,2190371,117032,5234
327,1789292,114391,2198498,117189,5110
328,1784467,107759,2209738,117406,4825
329,1780026,101533,2220208,117603,4441
330,1775717,95703,2230139,117811,4309
331,1771652,91293,2238437,117988,4065
332,1767833,86068,2247312,118157,3819
333,1764214,81290,2255539,118327,3619
334,1761602,75955,2263298,118515,2612
335,1759743,70259,2270722,118646,1859
336,1757479,65520,2277577,118794,2264
337,1754779,61523,2284148,118920,2700
338,1752252,57706,2290368,119044,2527
339,1749835,54296,2296074,119165,2417
340,1747540,52096,2300472,119262,2295
341,1745398,49004,2305608,119360,2142
342,1744296,44996,2310600,119478,1102
343,1742475,41992,2315333,119570,1821
344,1740734,39292,2319685,119659,1741
345,1739458,36259,2323898,119755,1276
346,1737994,33658,2327892,119826,1464
347,1736674,31159,2331628,119909,1320
348,1735438,28776,2335172,119984,1236
349,1734240,27362,2337738,120030,1198
350,1733348,26395,2339554,120073,892
351,1732229,25250,2341773,120118,1119
352,1731217,23562,2344415,120176,1012
353,1730283,21969,2346901,120217,934
354,1729584,20251,2349271,120264,699
355,1728780,18760,2351517,120313,804
356,1728043,17355,2353616,120356,737
357,1727340,16956,2354702,120372,703
358,1726809,15666,2356490,120405,531
359,1726154,14580,2358203,120433,655
360,1725574,13884,2359463,120449,580
361,1725014,12980,2360892,120484,560
362,1724510,12164,2362187,120509,504
363,1724052,11386,2363399,120533,458
364,1723568,10672,2364570,120560,484
365,1723134,10214,2365445,120577,434
366,1722734,9495,2366542,120599,400
367,1722436,8781,2367533,120620,298
368,1722090,8193,2368450,120637,346
369,1721754,7830,2369138,120648,336
370,1721427,7353,2369924,120666,327
371,1721121,6922,2370645,120682,306
372,1720873,6467,2371339,120691,248
373,1720633,6176,2371856,120705,240
374,1720363,5791,2372500,120716,270
375,1720142,5432,2373071,120725,221
376,1719914,5100,2373616,120740,228
377,1719700,4810,2374111,120749,214
378,1719513,4539,2374563,120755,187
379,1719350,4218,2375036,120766,163
380,1719182,3952,2375466,120770,168
381,1719088,3646,2375860,120776,94
382,1718991,3445,2376151,120783,97
383,1718857,3233,2376487,120793,134
384,1718735,3019,2376816,120800,122
385,1718610,2817,2377137,120806,125
386,1718508,2613,2377436,120813,102
387,1718420,2453,2377680,120817,88
388,1718312,2321,2377916,120821,108
389,1718214,2149,2378180,120827,98
390,1718132,2010,2378395,120833,82
391,1718047,1867,2378617,120839,85
392,1717975,1725,2378825,120845,72
393,1717907,1606,2379006,120851,68
394,1717849,1501,2379165,120855,58
395,1717768,1414,2379331,120857,81
396,1717711,1377,2379424,120858,57
397,1717648,1343,2379516,120863,63
398,1717594,1263,2379644,120869,54
399,1717538,1197,2379763,120872,56
400,1717488,1122,2379887,120873,50
401,1717442,1066,2379987,120875,46
402,1717397,1023,2380074,120876,45
403,1717361,951,2380177,120881,36
404,1717316,898,2380271,120885,45
405,1717278,854,2380348,120890,38
406,1717255,792,2380430,120893,23
407,1717225,750,2380500,120895,30
408,1717191,716,2380567,120896,34
409,1717156,693,2380622,120899,35
410,1717125,643,2380702,120900,31
411,1717097,614,2380758,120901,28
412,1717081,567,2380821,120901,16
413,1717064,530,2380873,120903,17
414,1717041,497,2380929,120903,23
415,1717022,466,2380979,120903,19
416,1717008,434,2381024,120904,14
417,1716991,406,2381068,120905,17
418,1716971,390,2381104,120905,20
419,1716958,358,2381149,120905,13
420,1716939,339,2381185,120907,19
421,1716924,331,2381206,120909,15
422,1716913,312,2381235,120910,11
423,1716897,294,2381268,120911,16
424,1716888,268,2381303,120911,9
425,1716876,249,2381333,120912,12
426,1716866,231,2381360,120913,10
427,1716849,232,2381376,120913,17
428,1716842,222,2381393,120913,7
429,1716829,212,2381415,120914,13
430,1716819,203,2381433,120915,10
431,1716815,193,2381447,120915,4
432,1716811,180,2381464,120915,4
433,1716807,164,2381482,120917,4
434,1716800,158,2381495,120917,7
435,1716795,144,2381514,120917,5
436,1716792,132,2381528,120918,3
437,1716788,125,2381539,120918,4
438,1716781,116,2381555,120918,7
439,1716777,111,2381563,120919,4
440,1716774,102,2381575,120919,3
441,1716766,100,2381585,120919,8
442,1716765,84,2381601,120920,1
443,1716764,78,2381608,120920,1
444,1716760,69,2381621,120920,4
445,1716757,62,2381631,120920,3
446,1716756,59,2381635,120920,1
447,1716754,57,2381639,120920,2
448,1716751,56,2381643,120920,3
449,1716747,53,2381650,120920,4
450,1716744,51,2381655,120920,3
451,1716744,48,2381658,120920,0
452,1716742,46,2381662,120920,2
453,1716740,41,2381669,120920,2
454,1716739,38,2381673,120920,1
455,1716739,35,2381675,120921,0
456,1716736,30,2381683,120921,3
457,1716734,31,2381684,120921,2
458,1716732,32,2381685,120921,2
459,1716731,29,2381689,120921,1
460,1716730,27,2381692,120921,1
461,1716728,28,2381693,120921,2
462,1716728,26,2381695,120921,0
463,1716727,24,2381698,120921,1
464,1716725,22,2381702,120921,2
465,1716723,21,2381705,120921,2
466,1716722,22,2381705,120921,1
467,1716721,21,2381707,120921,1
468,1716721,19,2381709,120921,0
469,1716720,19,2381710,120921,1
470,1716719,20,2381710,120921,1
471,1716719,17,2381713,120921,0
472,1716719,15,2381714,120922,0
473,1716719,13,2381716,120922,0
474,1716719,12,2381717,120922,0
475,1716717,13,2381718,120922,2
476,1716717,11,2381720,120922,0
477,1716717,11,2381720,120922,0
478,1716717,10,2381721,120922,0
479,1716717,8,2381723,120922,0
480,1716717,6,2381724,120923,0
481,1716717,5,2381725,120923,0
482,1716717,4,2381726,120923,0
483,1716717,4,2381726,120923,0
484,1716717,3,2381727,120923,0
485,1716717,2,2381728,120923,0
486,1716717,2,2381728,120923,0
487,1716717,2,2381728,120923,0
488,1716717,2,2381728,120923,0
489,1716717,2,2381728,120923,0
490,1716717,0,2381730,120923,0
