Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 3690520, 897, 736, 0, 0
2, 3690425, 930, 798, 0, 95
3, 3690333, 958, 862, 0, 92
4, 3690232, 1003, 918, 0, 101
5, 3690115, 1070, 967, 1, 117
6, 3690016, 1107, 1029, 1, 99
7, 3689908, 1185, 1059, 1, 108
8, 3689777, 1277, 1098, 1, 131
9, 3689636, 1381, 1135, 1, 141
10, 3689496, 1489, 1166, 2, 140
11, 3689326, 1633, 1192, 2, 170
12, 3689145, 1787, 1219, 2, 181
13, 3688960, 1946, 1244, 3, 185
14, 3688751, 2129, 1270, 3, 209
15, 3688528, 2318, 1304, 3, 223
16, 3688283, 2545, 1322, 3, 245
17, 3688029, 2679, 1442, 3, 254
18, 3687724, 2877, 1549, 3, 305
19, 3687422, 3053, 1675, 3, 302
20, 3687091, 3250, 1807, 5, 331
21, 3686725, 3499, 1924, 5, 366
22, 3686315, 3792, 2041, 5, 410
23, 3685890, 4070, 2185, 8, 425
24, 3685470, 4337, 2337, 9, 420
25, 3684993, 4660, 2490, 10, 477
26, 3684523, 4945, 2675, 10, 470
27, 3684001, 5274, 2867, 11, 522
28, 3683420, 5663, 3058, 12, 581
29, 3682812, 6052, 3277, 12, 608
30, 3682193, 6441, 3506, 13, 619
31, 3681501, 6886, 3753, 13, 692
32, 3680732, 7394, 4012, 15, 769
33, 3679972, 7838, 4327, 16, 760
34, 3679132, 8367, 4637, 17, 840
35, 3678266, 8895, 4971, 21, 866
36, 3677311, 9480, 5337, 25, 955
37, 3676333, 10045, 5750, 25, 978
38, 3675289, 10660, 6177, 27, 1044
39, 3674146, 11381, 6598, 28, 1143
40, 3672972, 12077, 7074, 30, 1174
41, 3671713, 12860, 7546, 34, 1259
42, 3670382, 13667, 8067, 37, 1331
43, 3668892, 14572, 8644, 45, 1490
44, 3667355, 15498, 9252, 48, 1537
45, 3665786, 16446, 9867, 54, 1569
46, 3664055, 17483, 10558, 57, 1731
47, 3662186, 18582, 11327, 58, 1869
48, 3660258, 19746, 12088, 61, 1928
49, 3658261, 20899, 12928, 65, 1997
50, 3656066, 22227, 13789, 71, 2195
51, 3653887, 23448, 14743, 75, 2179
52, 3651421, 24934, 15718, 80, 2466
53, 3648867, 26444, 16756, 86, 2554
54, 3646036, 28131, 17895, 91, 2831
55, 3643169, 29822, 19068, 94, 2867
56, 3640110, 31622, 20316, 105, 3059
57, 3636925, 33475, 21639, 114, 3185
58, 3633383, 35526, 23125, 119, 3542
59, 3629638, 37733, 24652, 130, 3745
60, 3625686, 40115, 26210, 142, 3952
61, 3621446, 42623, 27935, 149, 4240
62, 3617018, 45180, 29794, 161, 4428
63, 3612323, 47947, 31705, 178, 4695
64, 3607337, 50935, 33687, 194, 4986
65, 3602142, 53935, 35871, 205, 5195
66, 3596635, 57261, 38039, 218, 5507
