Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 3289834, 897, 736, 0, 0
2, 3289782, 893, 792, 0, 52
3, 3289746, 869, 851, 1, 36
4, 3289698, 872, 896, 1, 48
5, 3289650, 862, 952, 3, 48
6, 3289605, 865, 994, 3, 45
7, 3289561, 870, 1032, 4, 44
8, 3289515, 868, 1080, 4, 46
9, 3289469, 872, 1122, 4, 46
10, 3289435, 863, 1165, 4, 34
11, 3289376, 899, 1188, 4, 59
12, 3289324, 919, 1220, 4, 52
13, 3289279, 935, 1248, 5, 45
14, 3289231, 965, 1266, 5, 48
15, 3289180, 995, 1287, 5, 51
16, 3289113, 1039, 1310, 5, 67
17, 3289054, 1025, 1383, 5, 59
18, 3289011, 1003, 1448, 5, 43
19, 3288957, 993, 1511, 6, 54
20, 3288912, 971, 1578, 6, 45
21, 3288868, 953, 1639, 7, 44
22, 3288823, 934, 1702, 8, 45
23, 3288783, 914, 1761, 9, 40
24, 3288739, 902, 1816, 10, 44
25, 3288700, 891, 1866, 10, 39
26, 3288653, 873, 1931, 10, 47
27, 3288606, 854, 1997, 10, 47
28, 3288570, 837, 2050, 10, 36
29, 3288540, 811, 2106, 10, 30
30, 3288493, 799, 2165, 10, 47
31, 3288447, 769, 2241, 10, 46
32, 3288404, 748, 2305, 10, 43
33, 3288366, 736, 2355, 10, 38
34, 3288327, 715, 2415, 10, 39
35, 3288283, 713, 2461, 10, 44
36, 3288245, 703, 2509, 10, 38
37, 3288222, 675, 2560, 10, 23
38, 3288188, 664, 2604, 11, 34
39, 3288142, 659, 2655, 11, 46
40, 3288113, 642, 2700, 12, 29
41, 3288084, 621, 2750, 12, 29
42, 3288056, 598, 2801, 12, 28
43, 3288030, 583, 2842, 12, 26
44, 3288002, 578, 2874, 13, 28
45, 3287963, 567, 2924, 13, 39
46, 3287940, 542, 2972, 13, 23
47, 3287913, 523, 3018, 13, 27
48, 3287884, 512, 3058, 13, 29
49, 3287860, 494, 3100, 13, 24
50, 3287839, 470, 3145, 13, 21
51, 3287824, 445, 3185, 13, 15
52, 3287804, 441, 3209, 13, 20
53, 3287790, 419, 3245, 13, 14
54, 3287771, 390, 3292, 14, 19
55, 3287754, 377, 3322, 14, 17
56, 3287736, 364, 3353, 14, 18
57, 3287717, 353, 3383, 14, 19
58, 3287695, 348, 3410, 14, 22
59, 3287681, 333, 3439, 14, 14
60, 3287661, 312, 3480, 14, 20
61, 3287648, 299, 3506, 14, 13
62, 3287636, 284, 3533, 14, 12
63, 3287627, 264, 3562, 14, 9
64, 3287612, 255, 3584, 16, 15
65, 3287602, 244, 3605, 16, 10
66, 3287595, 236, 3620, 16, 7
67, 3287583, 226, 3642, 16, 12
68, 3287566, 229, 3656, 16, 17
69, 3287555, 221, 3675, 16, 11
70, 3287541, 218, 3692, 16, 14
71, 3287529, 212, 3710, 16, 12
72, 3287518, 204, 3729, 16, 11
73, 3287507, 193, 3751, 16, 11
74, 3287496, 190, 3765, 16, 11
75, 3287486, 180, 3785, 16, 10
76, 3287477, 175, 3799, 16, 9
77, 3287467, 173, 3811, 16, 10
78, 3287457, 174, 3820, 16, 10
79, 3287448, 168, 3835, 16, 9
80, 3287436, 170, 3845, 16, 12
81, 3287425, 174, 3852, 16, 11
82, 3287413, 174, 3864, 16, 12
83, 3287404, 166, 3880, 17, 9
84, 3287399, 160, 3891, 17, 5
85, 3287393, 152, 3905, 17, 6
86, 3287383, 150, 3917, 17, 10
87, 3287381, 141, 3928, 17, 2
88, 3287377, 134, 3938, 18, 4
89, 3287371, 129, 3949, 18, 6
90, 3287366, 123, 3960, 18, 5
91, 3287361, 119, 3969, 18, 5
92, 3287358, 112, 3979, 18, 3
93, 3287353, 107, 3989, 18, 5
94, 3287344, 107, 3998, 18, 9
95, 3287332, 107, 4010, 18, 12
96, 3287326, 101, 4022, 18, 6
97, 3287322, 93, 4034, 18, 4
98, 3287317, 89, 4043, 18, 5
99, 3287309, 92, 4048, 18, 8
100, 3287306, 89, 4054, 18, 3
101, 3287300, 85, 4064, 18, 6
102, 3287294, 88, 4067, 18, 6
103, 3287290, 88, 4071, 18, 4
104, 3287283, 89, 4077, 18, 7
105, 3287278, 89, 4082, 18, 5
106, 3287272, 90, 4087, 18, 6
107, 3287264, 95, 4090, 18, 8
108, 3287254, 100, 4095, 18, 10
109, 3287249, 96, 4104, 18, 5
110, 3287235, 98, 4116, 18, 14
111, 3287230, 97, 4122, 18, 5
112, 3287228, 94, 4127, 18, 2
113, 3287224, 93, 4132, 18, 4
114, 3287220, 89, 4140, 18, 4
115, 3287209, 97, 4143, 18, 11
116, 3287202, 98, 4149, 18, 7
117, 3287198, 96, 4155, 18, 4
118, 3287193, 97, 4159, 18, 5
119, 3287188, 95, 4166, 18, 5
120, 3287184, 94, 4171, 18, 4
121, 3287180, 92, 4177, 18, 4
122, 3287178, 86, 4185, 18, 2
123, 3287171, 83, 4195, 18, 7
124, 3287169, 80, 4200, 18, 2
125, 3287166, 69, 4214, 18, 3
126, 3287165, 65, 4219, 18, 1
127, 3287162, 66, 4221, 18, 3
128, 3287158, 66, 4225, 18, 4
129, 3287155, 65, 4229, 18, 3
130, 3287153, 56, 4240, 18, 2
131, 3287149, 53, 4247, 18, 4
132, 3287146, 52, 4251, 18, 3
133, 3287142, 51, 4256, 18, 4
134, 3287139, 49, 4261, 18, 3
135, 3287136, 48, 4265, 18, 3
136, 3287133, 47, 4269, 18, 3
137, 3287132, 46, 4271, 18, 1
138, 3287131, 40, 4278, 18, 1
139, 3287130, 39, 4280, 18, 1
140, 3287128, 38, 4283, 18, 2
141, 3287128, 37, 4284, 18, 0
142, 3287124, 38, 4287, 18, 4
143, 3287121, 37, 4291, 18, 3
144, 3287119, 36, 4294, 18, 2
145, 3287118, 35, 4296, 18, 1
146, 3287117, 32, 4300, 18, 1
147, 3287114, 32, 4303, 18, 3
148, 3287114, 28, 4307, 18, 0
149, 3287113, 26, 4310, 18, 1
150, 3287110, 26, 4313, 18, 3
151, 3287110, 23, 4316, 18, 0
152, 3287107, 25, 4317, 18, 3
153, 3287107, 24, 4318, 18, 0
154, 3287106, 24, 4319, 18, 1
155, 3287104, 24, 4321, 18, 2
156, 3287102, 26, 4321, 18, 2
157, 3287101, 23, 4325, 18, 1
158, 3287100, 21, 4328, 18, 1
159, 3287099, 20, 4330, 18, 1
160, 3287098, 20, 4331, 18, 1
161, 3287097, 20, 4332, 18, 1
162, 3287097, 17, 4335, 18, 0
163, 3287097, 17, 4335, 18, 0
164, 3287094, 19, 4336, 18, 3
165, 3287094, 16, 4339, 18, 0
166, 3287093, 17, 4339, 18, 1
167, 3287092, 15, 4342, 18, 1
168, 3287091, 16, 4342, 18, 1
169, 3287091, 15, 4343, 18, 0
170, 3287089, 15, 4345, 18, 2
171, 3287088, 14, 4347, 18, 1
172, 3287088, 13, 4348, 18, 0
173, 3287088, 12, 4349, 18, 0
174, 3287088, 11, 4350, 18, 0
175, 3287087, 11, 4351, 18, 1
176, 3287084, 13, 4352, 18, 3
177, 3287083, 14, 4352, 18, 1
178, 3287083, 14, 4352, 18, 0
179, 3287083, 11, 4355, 18, 0
180, 3287083, 11, 4355, 18, 0
181, 3287083, 10, 4356, 18, 0
182, 3287083, 9, 4357, 18, 0
183, 3287081, 10, 4358, 18, 2
184, 3287080, 11, 4358, 18, 1
185, 3287080, 9, 4360, 18, 0
186, 3287080, 8, 4361, 18, 0
187, 3287080, 8, 4361, 18, 0
188, 3287078, 10, 4361, 18, 2
189, 3287077, 11, 4361, 18, 1
190, 3287076, 11, 4362, 18, 1
191, 3287075, 9, 4365, 18, 1
192, 3287074, 9, 4366, 18, 1
193, 3287074, 9, 4366, 18, 0
194, 3287073, 10, 4366, 18, 1
195, 3287073, 10, 4366, 18, 0
196, 3287073, 10, 4366, 18, 0
197, 3287071, 12, 4366, 18, 2
198, 3287069, 12, 4368, 18, 2
199, 3287068, 12, 4369, 18, 1
200, 3287067, 13, 4369, 18, 1
201, 3287066, 14, 4369, 18, 1
202, 3287066, 14, 4369, 18, 0
203, 3287066, 12, 4371, 18, 0
204, 3287065, 12, 4372, 18, 1
205, 3287064, 12, 4373, 18, 1
206, 3287061, 14, 4374, 18, 3
207, 3287060, 14, 4375, 18, 1
208, 3287060, 14, 4375, 18, 0
209, 3287060, 13, 4376, 18, 0
210, 3287059, 14, 4376, 18, 1
