Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 10000000, 1, 0, 0, 0
2, 9999999, 2, 0, 0, 1
3, 9999999, 2, 0, 0, 0
4, 9999999, 2, 0, 0, 0
5, 9999999, 2, 0, 0, 0
6, 9999999, 2, 0, 0, 0
7, 9999999, 2, 0, 0, 0
8, 9999998, 3, 0, 0, 1
9, 9999998, 3, 0, 0, 0
10, 9999997, 4, 0, 0, 1
11, 9999996, 5, 0, 0, 1
12, 9999996, 5, 0, 0, 0
13, 9999995, 6, 0, 0, 1
14, 9999994, 7, 0, 0, 1
15, 9999991, 10, 0, 0, 3
16, 9999988, 13, 0, 0, 3
17, 9999986, 14, 1, 0, 2
18, 9999984, 16, 1, 0, 2
19, 9999982, 18, 1, 0, 2
20, 9999980, 20, 1, 0, 2
21, 9999972, 28, 1, 0, 8
22, 9999968, 32, 1, 0, 4
23, 9999961, 37, 3, 0, 7
24, 9999949, 49, 3, 0, 12
25, 9999942, 52, 7, 0, 7
26, 9999929, 63, 9, 0, 13
27, 9999920, 70, 11, 0, 9
28, 9999911, 77, 12, 1, 9
29, 9999898, 88, 14, 1, 13
30, 9999880, 100, 20, 1, 18
31, 9999865, 111, 24, 1, 15
32, 9999839, 135, 26, 1, 26
33, 9999800, 171, 29, 1, 39
34, 9999763, 207, 30, 1, 37
35, 9999717, 250, 33, 1, 46
36, 9999666, 288, 45, 2, 51
37, 9999596, 350, 53, 2, 70
38, 9999528, 407, 64, 2, 68
39, 9999445, 476, 77, 3, 83
40, 9999349, 562, 87, 3, 96
41, 9999230, 661, 106, 4, 119
42, 9999089, 786, 122, 4, 141
43, 9998924, 918, 154, 5, 165
44, 9998746, 1058, 192, 5, 178
45, 9998530, 1226, 238, 7, 216
46, 9998258, 1454, 281, 8, 272
47, 9997949, 1703, 340, 9, 309
48, 9997593, 1989, 409, 10, 356
49, 9997176, 2331, 484, 10, 417
50, 9996706, 2696, 586, 13, 470
51, 9996170, 3108, 707, 16, 536
52, 9995534, 3621, 826, 20, 636
53, 9994755, 4254, 972, 20, 779
54, 9993845, 4976, 1157, 23, 910
55, 9992810, 5827, 1337, 27, 1035
56, 9991589, 6841, 1541, 30, 1221
57, 9990161, 8005, 1804, 31, 1428
58, 9988473, 9372, 2114, 42, 1688
59, 9986481, 11006, 2467, 47, 1992
60, 9984258, 12811, 2881, 51, 2223
61, 9981554, 14975, 3415, 57, 2704
62, 9978428, 17472, 4035, 66, 3126
63, 9974801, 20370, 4755, 75, 3627
64, 9970494, 23846, 5571, 90, 4307
65, 9965539, 27854, 6504, 104, 4955
66, 9959589, 32765, 7518, 129, 5950
67, 9952687, 38463, 8703, 148, 6902
68, 9944481, 45300, 10047, 173, 8206
69, 9935045, 52998, 11757, 201, 9436
70, 9923881, 62176, 13702, 242, 11164
71, 9910982, 72775, 15959, 285, 12899
