Day, Susceptible, Infected, Recovered, Dead, New Cases
1,322999999,1,0,0,0
2,322999999,1,0,0,0
3,322999998,2,0,0,1
4,322999997,3,0,0,1
5,322999995,5,0,0,2
6,322999995,5,0,0,0
7,322999994,6,0,0,1
8,322999993,7,0,0,1
9,322999989,11,0,0,4
10,322999986,14,0,0,3
11,322999982,18,0,0,4
12,322999976,24,0,0,6
13,322999967,33,0,0,9
14,322999961,39,0,0,6
15,322999956,44,0,0,5
16,322999947,53,0,0,9
17,322999931,69,0,0,16
18,322999915,84,1,0,16
19,322999895,103,2,0,20
20,322999864,132,4,0,31
21,322999825,171,4,0,39
22,322999786,209,5,0,39
23,322999736,258,6,0,50
24,322999667,323,10,0,69
25,322999590,397,13,0,77
26,322999507,476,17,0,83
27,322999386,591,23,0,121
28,322999252,716,32,0,134
29,322999073,889,38,0,179
30,322998828,1129,42,1,245
31,322998556,1392,51,1,272
32,322998208,1724,67,1,348
33,322997788,2128,83,1,420
34,322997225,2671,103,1,563
35,322996550,3315,133,2,675
36,322995745,4081,172,2,805
37,322994714,5073,211,2,1031
38,322993466,6271,260,3,1248
39,322991954,7714,326,6,1512
40,322990068,9523,401,8,1886
41,322987723,11785,483,9,2345
42,322984825,14561,599,15,2898
43,322981168,18084,731,17,3657
44,322976696,22377,908,19,4472
45,322971003,27825,1148,24,5693
46,322964190,34366,1413,31,6813
47,322955550,42658,1754,38,8640
48,322944904,52884,2160,52,10646
49,322931933,65292,2712,63,12971
50,322915671,80879,3367,83,16262
51,322895695,100050,4158,97,19976
52,322870793,123921,5165,121,24902
53,322839970,153496,6389,145,30823
54,322801983,189971,7875,171,37987
55,322755289,234779,9717,215,46694
56,322755289,234779,9717,215,0
57,322737813,235556,26077,554,17476
58,322719879,237930,41332,859,17934
59,322702212,241066,55577,1145,17667
60,322684157,245587,68823,1433,18055
61,322665378,251768,81150,1704,18779
62,322645905,259481,92666,1948,19473
63,322625688,268922,103228,2162,20217
64,322604967,279841,112833,2359,20721
65,322583254,292364,121836,2546,21713
66,322560681,306262,130328,2729,22573
67,322536668,322393,138038,2901,24013
68,322511680,339961,145294,3065,24988
69,322485262,359416,152126,3196,26418
70,322456891,381491,158294,3324,28371
71,322426567,405878,164117,3438,30324
72,322396009,413448,186671,3872,30558
73,322365040,421404,209226,4330,30969
74,322333242,430670,231332,4756,31798
75,322300557,440817,253437,5189,32685
76,322267240,451272,275824,5664,33317
77,322233239,461965,298679,6117,34001
78,322198391,473119,321892,6598,34848
79,322162431,485061,345407,7101,35960
80,322125881,496833,369695,7591,36550
81,322088239,509084,394588,8089,37642
82,322050672,519985,420763,8580,37567
83,322011448,531750,447664,9138,39224
84,321971543,543054,475748,9655,39905
85,321930724,553337,505657,10282,40819
86,321889254,562571,537228,10947,41470
87,321847159,572345,568901,11595,42095
88,321803980,582875,600842,12303,43179
89,321759914,593561,633541,12984,44066
90,321715207,604102,667012,13679,44707
91,321669805,614912,700869,14414,45402
92,321623269,626264,735317,15150,46536
93,321576050,637483,770515,15952,47219
94,321536062,640401,806850,16687,39988
