Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 10000000, 1, 0, 0, 0
2, 10000000, 1, 0, 0, 0
3, 10000000, 1, 0, 0, 0
4, 10000000, 1, 0, 0, 0
5, 10000000, 1, 0, 0, 0
6, 10000000, 1, 0, 0, 0
7, 10000000, 1, 0, 0, 0
8, 10000000, 1, 0, 0, 0
9, 9999999, 2, 0, 0, 1
10, 9999998, 3, 0, 0, 1
11, 9999995, 6, 0, 0, 3
12, 9999995, 6, 0, 0, 0
13, 9999995, 6, 0, 0, 0
14, 9999995, 5, 1, 0, 0
15, 9999995, 5, 1, 0, 0
16, 9999994, 6, 1, 0, 1
17, 9999990, 10, 1, 0, 4
18, 9999988, 12, 1, 0, 2
19, 9999986, 14, 1, 0, 2
20, 9999984, 16, 1, 0, 2
21, 9999982, 18, 1, 0, 2
22, 9999976, 24, 1, 0, 6
23, 9999969, 31, 1, 0, 7
24, 9999964, 35, 2, 0, 5
25, 9999957, 41, 3, 0, 7
26, 9999948, 47, 6, 0, 9
27, 9999939, 56, 6, 0, 9
28, 9999932, 63, 6, 0, 7
29, 9999917, 78, 6, 0, 15
30, 9999898, 97, 6, 0, 19
31, 9999877, 117, 7, 0, 21
32, 9999852, 138, 11, 0, 25
33, 9999812, 176, 13, 0, 40
34, 9999773, 213, 15, 0, 39
35, 9999723, 261, 17, 0, 50
36, 9999668, 314, 19, 0, 55
37, 9999601, 375, 25, 0, 67
38, 9999523, 446, 32, 0, 78
39, 9999430, 534, 36, 1, 93
40, 9999332, 625, 43, 1, 98
41, 9999205, 743, 52, 1, 127
42, 9999054, 885, 61, 1, 151
43, 9998861, 1071, 68, 1, 193
44, 9998630, 1287, 83, 1, 231
45, 9998335, 1563, 101, 2, 295
46, 9998002, 1875, 122, 2, 333
47, 9997602, 2250, 145, 4, 400
48, 9997128, 2684, 183, 6, 474
49, 9996556, 3217, 221, 7, 572
50, 9995851, 3872, 270, 8, 705
51, 9994984, 4684, 323, 10, 867
52, 9993988, 5613, 387, 13, 996
53, 9992776, 6747, 462, 16, 1212
54, 9991379, 8051, 550, 21, 1397
55, 9989652, 9680, 643, 26, 1727
56, 9987528, 11677, 765, 31, 2124
57, 9984981, 14073, 912, 35, 2547
58, 9981917, 16944, 1100, 40, 3064
59, 9978253, 20377, 1327, 44, 3664
60, 9973899, 24436, 1615, 51, 4354
61, 9968596, 29406, 1935, 64, 5303
62, 9962290, 35312, 2324, 75, 6306
63, 9954725, 42403, 2786, 87, 7565
64, 9945732, 50824, 3349, 96, 8993
65, 9934832, 61019, 4035, 115, 10900
66, 9921720, 73264, 4889, 128, 13112
67, 9905999, 87989, 5862, 151, 15721
68, 9887176, 105600, 7044, 181, 18823
69, 9864607, 126772, 8418, 204, 22569
70, 9837493, 152159, 10109, 240, 27114
71, 9805314, 182214, 12199, 274, 32179
72, 9766789, 218192, 14701, 319, 38525
73, 9720938, 260979, 17709, 375, 45851
74, 9666227, 312026, 21290, 458, 54711
75, 9601375, 372524, 25564, 538, 64852
76, 9524472, 444124, 30750, 655, 76903
77, 9433411, 528879, 36901, 810, 91061
78, 9344096, 610629, 44300, 976, 89315
79, 9221467, 724265, 53119, 1150, 122629
80, 9078790, 856042, 63817, 1352, 142677
81, 8912819, 1008901, 76672, 1609, 165971
82, 8721450, 1184549, 92064, 1938, 191369
83, 8501326, 1385850, 110478, 2347, 220124
84, 8250744, 1613863, 132586, 2808, 250582
85, 7968805, 1868688, 159172, 3336, 281939
86, 7654091, 2151223, 190702, 3985, 314714
87, 7308265, 2458524, 228446, 4766, 345826
88, 6931990, 2788948, 273370, 5693, 376275
89, 6528590, 3137637, 327031, 6743, 403400
90, 6112732, 3488643, 390593, 8033, 415858
91, 5671827, 3852645, 465991, 9538, 440905
92, 5229316, 4204095, 551972, 14618, 442511
93, 4777493, 4566603, 636382, 19523, 451823
94, 4333803, 4887664, 752174, 26360, 443690
95, 3905953, 5172837, 887055, 34156, 427850
96, 3500863, 5411956, 1043928, 43254, 405090
97, 3124975, 5596475, 1224759, 53792, 375888
98, 2778813, 5722513, 1432950, 65725, 346162
99, 2465135, 5785609, 1669873, 79384, 313678
100, 2186027, 5782778, 1936178, 95018, 279108
101, 1955165, 5698926, 2233684, 112226, 230862
102, 1754112, 5554153, 2560558, 131178, 201053
103, 1565351, 5366639, 2916102, 151909, 188761
104, 1404029, 5124561, 3297069, 174342, 161322
105, 1266135, 4846597, 3690002, 197267, 137894
106, 1181611, 4490216, 4106666, 221508, 84524
107, 1100005, 4129311, 4524836, 245849, 81606
108, 1018207, 3759286, 4951602, 270906, 81798
109, 953992, 3379811, 5371205, 294993, 64215
110, 899592, 3006361, 5775255, 318793, 54400
111, 866461, 2634402, 6172215, 326923, 33131
112, 832538, 2292437, 6540578, 334448, 33923
113, 803606, 1975207, 6879879, 341309, 28932
114, 780811, 1684324, 7187258, 347608, 22795
115, 761446, 1424581, 7460787, 353187, 19365
116, 741751, 1213414, 7687157, 357679, 19695
117, 726335, 1027777, 7884216, 361673, 15416
118, 713131, 852220, 8069116, 365534, 13204
119, 702292, 701737, 8227189, 368783, 10839
120, 695240, 570895, 8362336, 371530, 7052
121, 690466, 491145, 8445133, 373257, 4774
122, 684292, 415713, 8525082, 374914, 6174
123, 679318, 338889, 8605282, 376512, 4974
124, 675293, 278699, 8668204, 377805, 4025
125, 671893, 227699, 8721526, 378883, 3400
126, 669010, 197451, 8754008, 379532, 2883
127, 667099, 165439, 8787250, 380213, 1911
128, 665828, 137778, 8815597, 380798, 1271
129, 664445, 116366, 8837946, 381244, 1383
130, 663015, 98431, 8856916, 381639, 1430
131, 661846, 79905, 8876206, 382044, 1169
132, 661294, 65041, 8891336, 382330, 552
133, 660650, 52481, 8904254, 382616, 644
134, 660133, 42159, 8914870, 382839, 517
135, 659835, 35405, 8921790, 382971, 298
136, 659573, 30893, 8926460, 383075, 262
137, 659231, 25061, 8932528, 383181, 342
138, 658951, 20367, 8937394, 383289, 280
139, 658732, 16561, 8941323, 383385, 219
140, 658580, 13313, 8944661, 383447, 152
141, 658474, 10536, 8947484, 383507, 106
142, 658371, 8728, 8949361, 383541, 103
143, 658296, 7532, 8950599, 383574, 75
144, 658212, 6233, 8951950, 383606, 84
145, 658151, 4864, 8953348, 383638, 61
146, 658097, 3749, 8954487, 383668, 54
147, 658059, 3235, 8955031, 383676, 38
148, 658026, 2624, 8955657, 383694, 33
149, 658001, 2132, 8956167, 383701, 25
150, 657977, 1858, 8956458, 383708, 24
151, 657960, 1613, 8956718, 383710, 17
152, 657941, 1290, 8957058, 383712, 19
153, 657929, 1022, 8957331, 383719, 12
154, 657919, 813, 8957547, 383722, 10
155, 657912, 668, 8957697, 383724, 7
156, 657900, 574, 8957801, 383726, 12
157, 657893, 478, 8957902, 383728, 7
158, 657889, 407, 8957975, 383730, 4
159, 657886, 326, 8958055, 383734, 3
160, 657882, 269, 8958115, 383735, 4
161, 657876, 221, 8958168, 383736, 6
162, 657875, 184, 8958205, 383737, 1
163, 657873, 153, 8958237, 383738, 2
164, 657873, 128, 8958262, 383738, 0
165, 657870, 107, 8958283, 383741, 3
166, 657869, 91, 8958300, 383741, 1
167, 657864, 77, 8958318, 383742, 5
168, 657864, 65, 8958330, 383742, 0
169, 657864, 55, 8958340, 383742, 0
170, 657862, 50, 8958346, 383743, 2
171, 657861, 39, 8958358, 383743, 1
172, 657860, 33, 8958365, 383743, 1
173, 657860, 29, 8958369, 383743, 0
174, 657860, 26, 8958372, 383743, 0
175, 657859, 23, 8958375, 383744, 1
176, 657858, 18, 8958381, 383744, 1
177, 657858, 17, 8958382, 383744, 0
178, 657857, 16, 8958384, 383744, 1
179, 657857, 16, 8958384, 383744, 0
180, 657857, 13, 8958387, 383744, 0
181, 657857, 12, 8958388, 383744, 0
182, 657856, 8, 8958393, 383744, 1
183, 657856, 8, 8958393, 383744, 0
184, 657856, 8, 8958393, 383744, 0
185, 657856, 6, 8958395, 383744, 0
186, 657856, 5, 8958396, 383744, 0
187, 657856, 4, 8958397, 383744, 0
188, 657856, 4, 8958397, 383744, 0
