Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 329999999, 1, 0, 0, 0
2, 329999998, 2, 0, 0, 1
3, 329999997, 3, 0, 0, 1
4, 329999997, 3, 0, 0, 0
5, 329999997, 3, 0, 0, 0
6, 329999997, 3, 0, 0, 0
7, 329999995, 5, 0, 0, 2
8, 329999995, 5, 0, 0, 0
9, 329999995, 5, 0, 0, 0
10, 329999994, 6, 0, 0, 1
11, 329999991, 8, 1, 0, 3
12, 329999988, 11, 1, 0, 3
13, 329999986, 12, 2, 0, 2
14, 329999985, 12, 3, 0, 1
15, 329999985, 12, 3, 0, 0
16, 329999983, 14, 3, 0, 2
17, 329999982, 15, 3, 0, 1
18, 329999981, 14, 5, 0, 1
19, 329999979, 16, 5, 0, 2
20, 329999972, 23, 5, 0, 7
21, 329999969, 25, 6, 0, 3
22, 329999966, 25, 9, 0, 3
23, 329999964, 24, 12, 0, 2
24, 329999960, 26, 14, 0, 4
25, 329999955, 30, 15, 0, 5
26, 329999951, 34, 15, 0, 4
27, 329999948, 35, 17, 0, 3
28, 329999939, 43, 18, 0, 9
29, 329999934, 47, 19, 0, 5
30, 329999926, 53, 21, 0, 8
31, 329999920, 52, 28, 0, 6
32, 329999914, 55, 31, 0, 6
33, 329999907, 59, 34, 0, 7
34, 329999900, 64, 36, 0, 7
35, 329999893, 67, 40, 0, 7
36, 329999887, 68, 45, 0, 6
37, 329999879, 72, 49, 0, 8
38, 329999870, 78, 52, 0, 9
39, 329999860, 79, 61, 0, 10
40, 329999844, 90, 66, 0, 16
41, 329999838, 88, 74, 0, 6
42, 329999827, 93, 80, 0, 11
43, 329999813, 101, 86, 0, 14
44, 329999800, 107, 93, 0, 13
45, 329999788, 112, 100, 0, 12
46, 329999771, 122, 107, 0, 17
47, 329999756, 131, 113, 0, 15
48, 329999741, 138, 121, 0, 15
49, 329999721, 149, 130, 0, 20
50, 329999702, 158, 140, 0, 19
51, 329999686, 158, 156, 0, 16
52, 329999670, 168, 162, 0, 16
53, 329999656, 171, 173, 0, 14
54, 329999635, 178, 187, 0, 21
55, 329999613, 187, 200, 0, 22
56, 329999593, 195, 212, 0, 20
57, 329999569, 202, 229, 0, 24
58, 329999536, 220, 244, 0, 33
59, 329999515, 226, 259, 0, 21
60, 329999490, 231, 279, 0, 25
61, 329999465, 237, 298, 0, 25
62, 329999434, 252, 314, 0, 31
63, 329999413, 257, 330, 0, 21
64, 329999380, 276, 344, 0, 33
65, 329999349, 286, 365, 0, 31
66, 329999309, 304, 387, 0, 40
67, 329999267, 326, 407, 0, 42
68, 329999225, 344, 431, 0, 42
69, 329999179, 357, 464, 0, 46
70, 329999137, 378, 485, 0, 42
71, 329999106, 384, 510, 0, 31
72, 329999056, 409, 535, 0, 50
73, 329999003, 431, 566, 0, 53
74, 329998960, 453, 587, 0, 43
75, 329998913, 467, 620, 0, 47
76, 329998867, 482, 651, 0, 46
77, 329998805, 504, 691, 0, 62
78, 329998749, 518, 733, 0, 56
79, 329998697, 528, 775, 0, 52
80, 329998652, 527, 821, 0, 45
81, 329998575, 562, 863, 0, 77
82, 329998514, 592, 894, 0, 61
83, 329998441, 615, 944, 0, 73
84, 329998366, 637, 997, 0, 75
85, 329998287, 673, 1040, 0, 79
86, 329998199, 714, 1087, 0, 88
87, 329998108, 759, 1133, 0, 91
88, 329998023, 782, 1195, 0, 85
89, 329997944, 805, 1251, 0, 79
90, 329997869, 828, 1303, 0, 75
91, 329997774, 878, 1348, 0, 95
92, 329997672, 903, 1425, 0, 102
93, 329997553, 961, 1486, 0, 119
94, 329997444, 997, 1559, 0, 109
95, 329997331, 1035, 1634, 0, 113
96, 329997208, 1079, 1713, 0, 123
97, 329997103, 1096, 1801, 0, 105
98, 329996964, 1144, 1892, 0, 139
99, 329996831, 1192, 1977, 0, 133
100, 329996712, 1232, 2056, 0, 119
101, 329996570, 1299, 2131, 0, 142
102, 329996429, 1345, 2226, 0, 141
103, 329996276, 1396, 2328, 0, 153
104, 329996110, 1443, 2447, 0, 166
105, 329995912, 1532, 2556, 0, 198
106, 329995725, 1606, 2669, 0, 187
107, 329995551, 1657, 2792, 0, 174
108, 329995340, 1763, 2896, 1, 211
109, 329995123, 1841, 3035, 1, 217
110, 329994908, 1923, 3168, 1, 215
111, 329994680, 2032, 3287, 1, 228
112, 329994456, 2114, 3428, 2, 224
113, 329994213, 2216, 3569, 2, 243
114, 329993965, 2311, 3722, 2, 248
115, 329993681, 2429, 3888, 2, 284
116, 329993380, 2532, 4086, 2, 301
117, 329993081, 2644, 4272, 3, 299
118, 329992784, 2767, 4446, 3, 297
119, 329992466, 2874, 4656, 4, 318
120, 329992115, 3008, 4873, 4, 351
121, 329991752, 3156, 5087, 5, 363
122, 329991362, 3318, 5314, 6, 390
123, 329990972, 3484, 5538, 6, 390
124, 329990571, 3642, 5781, 6, 401
125, 329990117, 3848, 6029, 6, 454
126, 329989630, 4051, 6312, 7, 487
127, 329989133, 4247, 6613, 7, 497
128, 329988601, 4480, 6912, 7, 532
129, 329988013, 4771, 7208, 8, 588
130, 329987451, 5015, 7526, 8, 562
131, 329986806, 5309, 7876, 9, 645
132, 329986184, 5568, 8239, 9, 622
133, 329985512, 5850, 8629, 9, 672
134, 329984795, 6177, 9019, 9, 717
135, 329984077, 6494, 9419, 10, 718
136, 329983283, 6834, 9873, 10, 794
137, 329982517, 7113, 10360, 10, 766
138, 329981655, 7478, 10856, 11, 862
139, 329980795, 7806, 11388, 11, 860
140, 329979907, 8106, 11973, 14, 888
141, 329978926, 8525, 12534, 15, 981
142, 329977872, 8934, 13179, 15, 1054
143, 329976752, 9432, 13799, 17, 1120
144, 329975652, 9860, 14470, 18, 1100
145, 329974434, 10361, 15186, 19, 1218
146, 329973190, 10887, 15904, 19, 1244
147, 329971859, 11424, 16696, 21, 1331
148, 329970512, 12005, 17461, 22, 1347
149, 329968989, 12666, 18323, 22, 1523
150, 329967430, 13365, 19183, 22, 1559
151, 329965786, 14121, 20071, 22, 1644
152, 329964045, 14881, 21048, 26, 1741
153, 329962185, 15687, 22101, 27, 1860
154, 329960283, 16469, 23220, 28, 1902
155, 329958275, 17377, 24317, 31, 2008
156, 329956180, 18254, 25535, 31, 2095
157, 329954049, 19141, 26779, 31, 2131
158, 329951802, 20057, 28110, 31, 2247
159, 329949358, 21154, 29453, 35, 2444
160, 329946799, 22190, 30975, 36, 2559
161, 329944091, 23339, 32532, 38, 2708
162, 329941289, 24497, 34174, 40, 2802
163, 329938365, 25680, 35914, 41, 2924
164, 329935269, 26916, 37771, 44, 3096
165, 329931940, 28343, 39671, 46, 3329
166, 329928565, 29710, 41678, 47, 3375
167, 329924957, 31223, 43770, 50, 3608
168, 329921113, 32936, 45897, 54, 3844
169, 329917153, 34649, 48143, 55, 3960
170, 329913032, 36326, 50583, 59, 4121
171, 329908517, 38282, 53140, 61, 4515
172, 329903902, 40189, 55844, 65, 4615
173, 329898935, 42354, 58643, 68, 4967
174, 329893853, 44512, 61563, 72, 5082
175, 329888377, 46892, 64658, 73, 5476
176, 329882766, 49174, 67980, 80, 5611
177, 329876747, 51818, 71349, 86, 6019
178, 329870564, 54393, 74953, 90, 6183
179, 329864003, 57110, 78790, 97, 6561
