Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 282281468, 392607, 214711, 0, 0
2, 282245235, 400718, 242696, 137, 36233
3, 282208046, 411747, 268712, 281, 37189
4, 282170439, 425378, 292562, 407, 37607
5, 282129920, 443523, 314831, 512, 40519
6, 282087218, 465235, 335706, 627, 42702
7, 282042906, 490086, 355058, 736, 44312
8, 281995717, 519430, 372806, 833, 47189
9, 281945352, 553224, 389287, 923, 50365
10, 281891842, 591413, 404537, 994, 53510
11, 281834556, 634595, 418559, 1076, 57286
12, 281772368, 683604, 431670, 1144, 62188
13, 281709722, 733729, 444126, 1209, 62646
14, 281637797, 794139, 455587, 1263, 71925
15, 281559832, 861423, 466228, 1303, 77965
16, 281475124, 936355, 475950, 1357, 84708
17, 281386636, 979409, 521161, 1580, 88488
18, 281294347, 1025863, 566764, 1812, 92289
19, 281214020, 1060567, 612173, 2026, 80327
20, 281113395, 1113283, 659832, 2276, 100625
21, 281007928, 1169079, 709232, 2547, 105467
22, 280896762, 1229544, 759698, 2782, 111166
23, 280779590, 1293594, 812560, 3042, 117172
24, 280656837, 1360424, 868211, 3314, 122753
25, 280544162, 1414430, 926566, 3628, 112675
26, 280409845, 1486673, 988320, 3948, 134317
27, 280271580, 1558396, 1054501, 4309, 138265
28, 280123380, 1639770, 1120942, 4694, 148200
29, 279968322, 1719168, 1196203, 5093, 155058
30, 279805862, 1800021, 1277392, 5511, 162460
31, 279636397, 1881449, 1364970, 5970, 169465
32, 279470989, 1955331, 1456030, 6436, 165408
33, 279286602, 2044646, 1550633, 6905, 184387
34, 279108177, 2140079, 1633238, 7292, 178425
35, 278906767, 2238418, 1735772, 7829, 201410
36, 278696126, 2341336, 1842980, 8344, 210641
37, 278476864, 2447384, 1955642, 8896, 219262
38, 278266450, 2538683, 2074128, 9525, 210414
39, 278028992, 2651608, 2197977, 10209, 237458
40, 277802133, 2764057, 2311828, 10768, 226859
41, 277557245, 2873029, 2447036, 11476, 244888
42, 277289410, 3001165, 2586018, 12193, 267835
43, 277029612, 3111370, 2734851, 12953, 259798
44, 276753982, 3230671, 2890406, 13727, 275630
45, 276453214, 3367788, 3053266, 14518, 300768
46, 276141417, 3509025, 3223000, 15344, 311797
47, 275904095, 3579978, 3388499, 16214, 237322
48, 275572610, 3726175, 3571955, 18046, 331485
49, 275227194, 3892288, 3749449, 19855, 345416
50, 274971833, 3945445, 3949603, 21905, 255361
51, 274611699, 4094196, 4158863, 24028, 360134
52, 274259684, 4226256, 4376670, 26176, 352015
53, 273871208, 4403647, 4585655, 28276, 388476
54, 273470655, 4566126, 4821392, 30613, 400553
55, 273125020, 4684363, 5046524, 32879, 345635
56, 272697198, 4866740, 5289604, 35244, 427822
57, 272260208, 5035441, 5555218, 37919, 436990
58, 271830330, 5205094, 5812854, 40508, 429878
59, 271357084, 5402322, 6086058, 43322, 473246
60, 270867363, 5590930, 6384178, 46315, 489721
61, 270523586, 5622530, 6693084, 49586, 343777
62, 270030449, 5878013, 6928349, 51975, 493137
63, 269659685, 5916968, 7256810, 55323, 370764
64, 269208352, 6022584, 7599196, 58654, 451333
65, 268699739, 6275571, 7852382, 61094, 508613
