Day, Susceptible, Infected, Recovered, Dead, New Cases
1, 322607393, 392607, 214711, 0, 0
2, 322587238, 384713, 242180, 580, 20155
3, 322567467, 378627, 267547, 1070, 19771
4, 322548284, 373600, 291232, 1595, 19183
5, 322529075, 370307, 313304, 2025, 19209
6, 322510008, 368642, 333625, 2436, 19067
7, 322490686, 368711, 352481, 2833, 19322
8, 322471434, 369994, 370058, 3225, 19252
9, 322452243, 372524, 386373, 3571, 19191
10, 322432604, 376721, 401482, 3904, 19639
11, 322412509, 382387, 415581, 4234, 20095
12, 322392120, 389363, 428720, 4508, 20389
13, 322372658, 396486, 440819, 4748, 19462
14, 322351409, 406214, 452091, 4997, 21249
15, 322329749, 417097, 462632, 5233, 21660
16, 322307334, 429621, 472324, 5432, 22415
17, 322285620, 421931, 501166, 5994, 21714
18, 322263902, 415357, 528874, 6578, 21718
19, 322242877, 409314, 555401, 7119, 21025
20, 322222186, 403339, 581550, 7636, 20691
21, 322201300, 398198, 607064, 8149, 20886
22, 322180950, 392933, 632167, 8661, 20350
23, 322161067, 387680, 656805, 9159, 19883
24, 322141165, 382889, 681004, 9653, 19902
25, 322122643, 376604, 705302, 10162, 18522
26, 322103529, 370884, 729640, 10658, 19114
27, 322084683, 364987, 753878, 11163, 18846
28, 322066173, 359876, 777037, 11625, 18510
29, 322047983, 352905, 801679, 12144, 18190
30, 322029863, 345756, 826402, 12690, 18120
31, 322012446, 337491, 851542, 13232, 17417
32, 321995208, 329989, 875770, 13744, 17238
33, 321978536, 322181, 899729, 14265, 16672
34, 321962202, 314819, 922939, 14751, 16334
35, 321946332, 307542, 945627, 15210, 15870
36, 321930700, 300057, 968292, 15662, 15632
37, 321915618, 292727, 990242, 16124, 15082
38, 321900903, 285599, 1011607, 16602, 14715
39, 321886429, 278305, 1032975, 17002, 14474
40, 321872370, 272195, 1052731, 17415, 14059
41, 321858688, 265224, 1072964, 17835, 13682
42, 321845613, 258025, 1092799, 18274, 13075
43, 321832686, 251075, 1112308, 18642, 12927
44, 321820027, 244274, 1131364, 19046, 12659
45, 321807702, 237327, 1150273, 19409, 12325
46, 321795980, 230526, 1168420, 19785, 11722
47, 321784288, 223975, 1186302, 20146, 11692
48, 321773022, 217614, 1203589, 20486, 11266
49, 321762096, 211410, 1220360, 20845, 10926
50, 321751491, 205360, 1236678, 21182, 10605
51, 321741280, 199154, 1252764, 21513, 10211
52, 321731189, 193462, 1268215, 21845, 10091
53, 321721391, 187896, 1283305, 22119, 9798
54, 321711968, 182221, 1298095, 22427, 9423
55, 321702979, 176590, 1312420, 22722, 8989
56, 321693925, 171449, 1326357, 22980, 9054
57, 321685309, 166483, 1339649, 23270, 8616
58, 321676929, 161522, 1352755, 23505, 8380
59, 321668840, 156528, 1365567, 23776, 8089
60, 321660927, 151723, 1378067, 23994, 7913
61, 321653399, 147166, 1389898, 24248, 7528
62, 321647019, 141528, 1401678, 24486, 6380
63, 321639852, 137097, 1413017, 24745, 7167
64, 321632989, 132736, 1424023, 24963, 6863
65, 321626265, 128589, 1434668, 25189, 6724
66, 321619780, 124617, 1444949, 25365, 6485
67, 321613576, 120504, 1455054, 25577, 6204
68, 321607540, 116531, 1464888, 25752, 6036
69, 321601706, 112761, 1474283, 25961, 5834
70, 321596073, 109219, 1483271, 26148, 5633
71, 321590672, 105387, 1492336, 26316, 5401
72, 321585302, 101985, 1500927, 26497, 5370
73, 321580219, 98536, 1509270, 26686, 5083
74, 321575390, 95145, 1517334, 26842, 4829
75, 321570658, 91835, 1525206, 27012, 4732
76, 321566003, 88851, 1532691, 27166, 4655
77, 321561409, 86963, 1539035, 27304, 4594
78, 321557605, 83510, 1546131, 27465, 3804
79, 321553407, 80744, 1552981, 27579, 4198
80, 321549403, 77940, 1559649, 27719, 4004
81, 321545463, 75316, 1566083, 27849, 3940
82, 321541606, 72896, 1572233, 27976, 3857
83, 321538007, 70401, 1578216, 28087, 3599
84, 321534578, 67945, 1583965, 28223, 3429
85, 321531226, 65615, 1589516, 28354, 3352
86, 321528012, 63380, 1594848, 28471, 3214
87, 321524960, 61011, 1600145, 28595, 3052
88, 321521847, 59002, 1605159, 28703, 3113
89, 321518885, 57084, 1609961, 28781, 2962
90, 321516019, 55174, 1614630, 28888, 2866
91, 321513319, 53176, 1619243, 28973, 2700
92, 321510723, 51151, 1623764, 29073, 2596
93, 321508199, 49835, 1627520, 29157, 2524
94, 321505738, 48067, 1631686, 29220, 2461
95, 321503353, 46421, 1635630, 29307, 2385
96, 321501138, 44667, 1639518, 29388, 2215
97, 321498912, 43004, 1643341, 29454, 2226
98, 321496794, 41501, 1646886, 29530, 2118
99, 321494836, 40004, 1650288, 29583, 1958
100, 321492781, 38689, 1653598, 29643, 2055
101, 321490853, 37390, 1656758, 29710, 1928
102, 321489013, 36164, 1659765, 29769, 1840
103, 321487251, 34801, 1662829, 29830, 1762
104, 321485491, 33573, 1665757, 29890, 1760
105, 321483804, 32381, 1668574, 29952, 1687
106, 321482198, 31278, 1671210, 30025, 1606
107, 321480654, 30211, 1673773, 30073, 1544
108, 321479153, 29178, 1676256, 30124, 1501
109, 321477710, 28154, 1678669, 30178, 1443
110, 321476279, 27194, 1681013, 30225, 1431
111, 321474947, 26300, 1683189, 30275, 1332
112, 321473760, 25256, 1685382, 30313, 1187
113, 321472505, 24382, 1687470, 30354, 1255
114, 321471312, 23609, 1689393, 30397, 1193
115, 321470085, 22773, 1691402, 30451, 1227
116, 321469218, 21706, 1693298, 30489, 867
117, 321468123, 20955, 1695099, 30534, 1095
118, 321467059, 20250, 1696841, 30561, 1064
119, 321466112, 19431, 1698564, 30604, 947
120, 321465154, 18696, 1700222, 30639, 958
121, 321464193, 18046, 1701797, 30675, 961
122, 321463324, 17369, 1703312, 30706, 869
123, 321462446, 16744, 1704784, 30737, 878
124, 321461578, 16166, 1706195, 30772, 868
125, 321460936, 15372, 1707599, 30804, 642
126, 321460225, 14747, 1708906, 30833, 711
127, 321459448, 14334, 1710061, 30868, 777
128, 321458710, 13815, 1711292, 30894, 738
129, 321458076, 13254, 1712462, 30919, 634
130, 321457448, 12653, 1713670, 30940, 628
131, 321456801, 12433, 1714520, 30957, 647
132, 321456179, 11960, 1715595, 30977, 622
133, 321455583, 11491, 1716639, 30998, 596
134, 321454993, 11133, 1717565, 31020, 590
135, 321454420, 10747, 1718503, 31041, 573
136, 321453936, 10270, 1719449, 31056, 484
137, 321453417, 9917, 1720307, 31070, 519
138, 321452911, 9545, 1721166, 31089, 506
139, 321452468, 9118, 1722023, 31102, 443
140, 321451990, 8954, 1722652, 31115, 478
141, 321451533, 8699, 1723349, 31130, 457
142, 321451065, 8390, 1724111, 31145, 468
143, 321450683, 8033, 1724836, 31159, 382
144, 321450279, 7803, 1725454, 31175, 404
145, 321449884, 7570, 1726075, 31182, 395
146, 321449539, 7268, 1726706, 31198, 345
147, 321449158, 7027, 1727320, 31206, 381
148, 321448819, 6769, 1727906, 31217, 339
149, 321448480, 6518, 1728486, 31227, 339
150, 321448157, 6268, 1729051, 31235, 323
151, 321447848, 6093, 1729523, 31247, 309
152, 321447541, 5881, 1730036, 31253, 307
